ANY-MES,COMARCA,INCIDENTS,CODI_COMARCA,SALVAMENTS
2018-01-01,ALT EMPORDA,803,02,3
2018-01-01,ALT PENEDES,594,03,2
2018-01-01,ALT URGELL,106,04,1
2018-01-01,ANOIA,574,06,3
2018-01-01,BAGES,936,07,6
2018-01-01,BAIX EMPORDA,618,10,3
2018-01-01,BAIX LLOBREGAT,4220,11,4
2018-01-01,CERDANYA,128,15,2
2018-01-01,GARRAF,853,17,3
2018-01-01,GIRONES,973,20,2
2018-01-01,MARESME,2271,21,1
2018-01-01,MOIANES,44,42,1
2018-01-01,MONTSIA,352,22,3
2018-01-01,NOGUERA,119,23,1
2018-01-01,OSONA,610,24,5
2018-01-01,PALLARS JUSSA,47,25,1
2018-01-01,PALLARS SOBIRA,31,26,1
2018-01-01,PRIORAT,60,29,2
2018-01-01,RIPOLLES,162,31,1
2018-01-01,SEGRIA,989,33,1
2018-01-01,SELVA,864,34,1
2018-01-01,TERRA ALTA,26,37,1
2018-01-01,URGELL,113,38,1
2018-01-01,VAL D'ARAN,38,39,6
2018-01-01,VALLES OCCIDENTAL,4802,40,3
2018-01-01,VALLES ORIENTAL,1926,41,2
2018-02-01,ALT EMPORDA,750,02,1
2018-02-01,ALT PENEDES,496,03,3
2018-02-01,ALTA RIBAGORÇA,18,05,1
2018-02-01,ANOIA,504,06,2
2018-02-01,BAGES,787,07,5
2018-02-01,BAIX CAMP,958,08,5
2018-02-01,BAIX EBRE,337,09,1
2018-02-01,BAIX EMPORDA,506,10,1
2018-02-01,BAIX LLOBREGAT,3600,11,6
2018-02-01,BERGUEDA,170,14,6
2018-02-01,CERDANYA,129,15,1
2018-02-01,GIRONES,789,20,1
2018-02-01,MARESME,1868,21,2
2018-02-01,PALLARS SOBIRA,23,26,4
2018-02-01,PRIORAT,45,29,1
2018-02-01,RIPOLLES,137,31,8
2018-02-01,SELVA,707,34,4
2018-02-01,SOLSONES,49,35,1
2018-02-01,TERRA ALTA,26,37,1
2018-02-01,VAL D'ARAN,40,39,9
2018-02-01,VALLES OCCIDENTAL,4021,40,3
2018-02-01,VALLES ORIENTAL,1520,41,5
2018-03-01,ALT EMPORDA,768,02,3
2018-03-01,ALT PENEDES,546,03,1
2018-03-01,ALT URGELL,93,04,1
2018-03-01,ALTA RIBAGORÇA,13,05,2
2018-03-01,ANOIA,517,06,6
2018-03-01,BAGES,759,07,8
2018-03-01,BAIX EBRE,372,09,2
2018-03-01,BAIX EMPORDA,636,10,3
2018-03-01,BAIX LLOBREGAT,3770,11,13
2018-03-01,BAIX PENEDES,853,12,1
2018-03-01,BARCELONES,13039,13,2
2018-03-01,BERGUEDA,126,14,5
2018-03-01,CERDANYA,107,15,1
2018-03-01,GARRAF,767,17,7
2018-03-01,GARROTXA,230,19,7
2018-03-01,MARESME,1991,21,2
2018-03-01,MOIANES,57,42,1
2018-03-01,MONTSIA,300,22,2
2018-03-01,NOGUERA,122,23,1
2018-03-01,OSONA,553,24,5
2018-03-01,PALLARS JUSSA,39,25,2
2018-03-01,PALLARS SOBIRA,29,26,2
2018-03-01,PRIORAT,54,29,4
2018-03-01,RIPOLLES,138,31,7
2018-03-01,SEGARRA,54,32,1
2018-03-01,SELVA,777,34,5
2018-03-01,TARRAGONES,1774,36,2
2018-03-01,URGELL,126,38,1
2018-03-01,VAL D'ARAN,35,39,9
2018-03-01,VALLES OCCIDENTAL,4345,40,5
2018-03-01,VALLES ORIENTAL,1678,41,3
2018-04-01,ALT CAMP,219,01,1
2018-04-01,ALT EMPORDA,707,02,2
2018-04-01,ALT URGELL,62,04,1
2018-04-01,ANOIA,435,06,10
2018-04-01,BAGES,753,07,10
2018-04-01,BAIX EBRE,380,09,3
2018-04-01,BAIX EMPORDA,581,10,2
2018-04-01,BAIX LLOBREGAT,3396,11,6
2018-04-01,BAIX PENEDES,748,12,2
2018-04-01,BARCELONES,12194,13,3
2018-04-01,BERGUEDA,128,14,2
2018-04-01,CERDANYA,71,15,1
2018-04-01,GARRAF,747,17,1
2018-04-01,GARRIGUES,39,18,1
2018-04-01,GARROTXA,204,19,6
2018-04-01,MOIANES,57,42,2
2018-04-01,NOGUERA,123,23,2
2018-04-01,OSONA,484,24,2
2018-04-01,PALLARS JUSSA,40,25,1
2018-04-01,PALLARS SOBIRA,18,26,5
2018-04-01,PLA DE L'ESTANY,82,28,1
2018-04-01,PRIORAT,39,29,1
2018-04-01,RIPOLLES,114,31,1
