ANY-MES,COMARCA,INCIDENTS,CODI_COMARCA,SALVAMENTS
2018-01-01,ALT EMPORDA,821,02,2
2018-01-01,ALT PENEDES,605,03,2
2018-01-01,ANOIA,582,06,3
2018-01-01,BAGES,945,07,6
2018-01-01,BAIX EMPORDA,636,10,2
2018-01-01,BAIX LLOBREGAT,4295,11,3
2018-01-01,CERDANYA,132,15,2
2018-01-01,GARRAF,869,17,3
2018-01-01,GIRONES,1002,20,2
2018-01-01,MOIANES,46,42,1
2018-01-01,MONTSIA,355,22,2
2018-01-01,NOGUERA,121,23,1
2018-01-01,OSONA,620,24,5
2018-01-01,PALLARS JUSSA,47,25,1
2018-01-01,PALLARS SOBIRA,31,26,1
2018-01-01,PRIORAT,61,29,2
2018-01-01,RIPOLLES,165,31,1
2018-01-01,SELVA,881,34,1
2018-01-01,TERRA ALTA,26,37,1
2018-01-01,VAL D'ARAN,39,39,5
2018-01-01,VALLES OCCIDENTAL,4887,40,3
2018-01-01,VALLES ORIENTAL,1968,41,2
2018-02-01,ALT PENEDES,504,03,3
2018-02-01,ALTA RIBAGORÇA,18,05,1
2018-02-01,ANOIA,517,06,2
2018-02-01,BAGES,801,07,5
2018-02-01,BAIX CAMP,982,08,5
2018-02-01,BAIX EBRE,343,09,1
2018-02-01,BAIX EMPORDA,520,10,1
2018-02-01,BAIX LLOBREGAT,3659,11,6
2018-02-01,BERGUEDA,175,14,6
2018-02-01,CERDANYA,135,15,1
2018-02-01,GIRONES,810,20,1
2018-02-01,MARESME,1899,21,2
2018-02-01,PALLARS SOBIRA,24,26,4
2018-02-01,PRIORAT,45,29,1
2018-02-01,RIPOLLES,144,31,8
2018-02-01,SELVA,732,34,3
2018-02-01,SOLSONES,49,35,1
2018-02-01,TERRA ALTA,27,37,1
2018-02-01,VAL D'ARAN,41,39,9
2018-02-01,VALLES OCCIDENTAL,4109,40,3
2018-02-01,VALLES ORIENTAL,1561,41,5
2018-03-01,ALT EMPORDA,781,02,3
2018-03-01,ALT PENEDES,564,03,1
2018-03-01,ALT URGELL,96,04,1
2018-03-01,ALTA RIBAGORÇA,13,05,2
2018-03-01,ANOIA,523,06,6
2018-03-01,BAGES,773,07,8
2018-03-01,BAIX EBRE,378,09,2
2018-03-01,BAIX EMPORDA,659,10,1
2018-03-01,BAIX LLOBREGAT,3821,11,11
2018-03-01,BAIX PENEDES,870,12,1
2018-03-01,BARCELONES,13248,13,2
2018-03-01,BERGUEDA,133,14,5
