ANY-MES,COMARCA,INCIDENTS,CODI_COMARCA,SALVAMENTS
2018-01-01,ALT EMPORDA,720,2,1
2018-01-01,ALT URGELL,89,4,1
2018-01-01,BAIX EMPORDA,546,10,1
2018-01-01,BAIX LLOBREGAT,4057,11,1
2018-01-01,MARESME,2147,21,1
2018-01-01,MONTSIA,295,22,1
2018-01-01,SEGRIA,900,33,1
2018-01-01,URGELL,99,38,1
2018-01-01,VAL D'ARAN,26,39,1
2018-02-01,ALT EMPORDA,658,2,1
2018-02-01,SELVA,657,34,1
2018-03-01,BAIX EMPORDA,582,10,2
2018-03-01,BAIX LLOBREGAT,3599,11,2
2018-03-01,GARRAF,718,17,1
2018-03-01,OSONA,499,24,1
2018-03-01,SELVA,721,34,1
2018-03-01,TARRAGONES,1699,36,1
2018-04-01,BAGES,739,7,1
2018-04-01,BAIX EBRE,353,9,2
2018-04-01,BERGUEDA,128,14,1
2018-04-01,GARRAF,710,17,1
2018-04-01,VALLES ORIENTAL,1411,41,1
2018-05-01,BAIX CAMP,1036,8,1
2018-05-01,BAIX EBRE,327,9,2
2018-05-01,BAIX EMPORDA,550,10,2
2018-05-01,GARRAF,751,17,2
2018-05-01,MARESME,1904,21,1
2018-05-01,OSONA,433,24,1
2018-05-01,SEGRIA,765,33,2
2018-05-01,SELVA,863,34,3
2018-05-01,TARRAGONES,1581,36,1
2018-06-01,ALT EMPORDA,846,2,5
2018-06-01,ALTA RIBAGORÇA,27,5,1
2018-06-01,ANOIA,424,6,1
2018-06-01,BAGES,762,7,1
2018-06-01,BAIX EMPORDA,778,10,1
2018-06-01,BAIX PENEDES,777,12,1
2018-06-01,BARCELONES,12436,13,1
2018-06-01,GARRAF,973,17,2
2018-06-01,GIRONES,745,20,1
2018-06-01,MARESME,2013,21,1
2018-06-01,MONTSIA,274,22,1
2018-06-01,PALLARS SOBIRA,32,26,1
2018-06-01,SEGRIA,802,33,1
2018-06-01,TARRAGONES,1804,36,1
2018-07-01,ALT EMPORDA,1123,2,2
2018-07-01,BAIX EMPORDA,1139,10,4
2018-07-01,BAIX LLOBREGAT,3782,11,2
2018-07-01,GARRAF,1000,17,6
2018-07-01,MARESME,2406,21,1
2018-07-01,MONTSIA,341,22,2
2018-07-01,SEGRIA,913,33,1
2018-07-01,SELVA,1309,34,4
2018-07-01,TARRAGONES,2232,36,1
2018-08-01,ALT EMPORDA,1394,2,4
2018-08-01,BAIX CAMP,1423,8,2
2018-08-01,BAIX EBRE,493,9,1
2018-08-01,BAIX EMPORDA,1382,10,5
2018-08-01,BAIX LLOBREGAT,3430,11,1
2018-08-01,BAIX PENEDES,1290,12,1
2018-08-01,GARRAF,1079,17,2
2018-08-01,PALLARS JUSSA,59,25,1
2018-08-01,SEGRIA,909,33,1
2018-08-01,TERRA ALTA,39,37,1
2018-08-01,VALLES OCCIDENTAL,3822,40,2
2018-09-01,ALT EMPORDA,803,2,3
2018-09-01,BAIX EMPORDA,737,10,1
2018-09-01,BAIX LLOBREGAT,3558,11,2
2018-09-01,BAIX PENEDES,885,12,1
2018-09-01,BARCELONES,13211,13,1
2018-09-01,GARRAF,862,17,2
2018-09-01,MARESME,2290,21,1
2018-09-01,SELVA,935,34,1
2018-09-01,SOLSONES,32,35,1
2018-09-01,VALLES ORIENTAL,1761,41,1
2018-10-01,ALT EMPORDA,690,2,1
2018-10-01,BAGES,732,7,2
2018-10-01,BAIX EMPORDA,585,10,2
2018-10-01,BAIX PENEDES,823,12,2
2018-10-01,GARRAF,859,17,2
2018-10-01,GIRONES,838,20,2
2018-10-01,MARESME,2273,21,1
2018-10-01,SELVA,890,34,1
2018-10-01,TARRAGONES,1998,36,2
2018-11-01,ALT EMPORDA,724,2,1
2018-11-01,ALT PENEDES,512,3,1
2018-11-01,BAIX EBRE,340,9,1
2018-11-01,BAIX LLOBREGAT,3724,11,2
2018-11-01,GARRAF,759,17,3
2018-11-01,OSONA,469,24,1
2018-11-01,SEGRIA,840,33,1
2018-12-01,MARESME,2069,21,1
2018-12-01,OSONA,557,24,1
2018-12-01,TARRAGONES,1628,36,1
2019-01-01,BAIX EMPORDA,624,10,1
2019-01-01,BAIX LLOBREGAT,4084,11,1
2019-02-01,ALT EMPORDA,626,2,1
2019-02-01,MARESME,1828,21,1
2019-02-01,SELVA,690,34,1
2019-03-01,ALT CAMP,206,1,1
2019-04-01,ALT EMPORDA,764,2,1
2019-04-01,GARRAF,807,17,2
2019-04-01,MARESME,2104,21,3
2019-04-01,MONTSIA,217,22,1
2019-04-01,SELVA,790,34,1
2019-04-01,TARRAGONES,1674,36,1
2019-05-01,ALT EMPORDA,791,2,2
2019-05-01,BAIX EMPORDA,610,10,1
2019-05-01,MARESME,2070,21,1
2019-05-01,RIBERA D'EBRE,58,30,1
2019-05-01,SELVA,920,34,2
2019-05-01,TARRAGONES,1812,36,1
2019-06-01,ALT EMPORDA,1019,2,1
2019-06-01,ALT URGELL,102,4,1
2019-06-01,ALTA RIBAGORÇA,18,5,1
2019-06-01,BAIX CAMP,1286,8,1
2019-06-01,BAIX EMPORDA,926,10,3
2019-06-01,BAIX LLOBREGAT,3783,11,1
2019-06-01,BAIX PENEDES,875,12,1
2019-06-01,GARRAF,929,17,4
2019-06-01,GIRONES,807,20,1
2019-06-01,MARESME,2286,21,4
2019-06-01,SEGRIA,961,33,1
2019-06-01,SELVA,1089,34,1
2019-06-01,TARRAGONES,2061,36,1
2019-07-01,ALT EMPORDA,1175,2,5
2019-07-01,BAIX EBRE,466,9,2
2019-07-01,BAIX EMPORDA,1137,10,4
2019-07-01,BAIX LLOBREGAT,4113,11,2
2019-07-01,BAIX PENEDES,1141,12,3
2019-07-01,GARRAF,1088,17,5
2019-07-01,GARROTXA,244,19,1
2019-07-01,MARESME,2580,21,1
2019-07-01,MONTSIA,316,22,2
2019-07-01,NOGUERA,157,23,2
2019-07-01,PRIORAT,35,29,1
2019-07-01,SELVA,1344,34,4
2019-07-01,TARRAGONES,2480,36,2
2019-07-01,VAL D'ARAN,12,39,1
2019-08-01,ALT EMPORDA,1455,2,9
2019-08-01,BAIX CAMP,1441,8,2
2019-08-01,BAIX EMPORDA,1369,10,5
2019-08-01,BAIX PENEDES,1207,12,2
2019-08-01,GIRONES,785,20,1
2019-08-01,MARESME,2449,21,3
2019-08-01,NOGUERA,136,23,1
2019-08-01,SEGRIA,853,33,1
2019-08-01,SELVA,1469,34,1
2019-08-01,TARRAGONES,2567,36,3
2019-09-01,ALT EMPORDA,894,2,4
2019-09-01,BAIX EBRE,417,9,1
2019-09-01,BAIX EMPORDA,837,10,4
2019-09-01,BAIX LLOBREGAT,3526,11,1
2019-09-01,BARCELONES,13209,13,1
2019-09-01,GARRAF,959,17,2
2019-09-01,GIRONES,804,20,1
2019-09-01,MARESME,2324,21,1
2019-09-01,MONTSIA,279,22,1
2019-09-01,RIPOLLES,138,31,1
2019-09-01,SEGRIA,815,33,1
2019-09-01,SELVA,1025,34,5
2019-09-01,TARRAGONES,1894,36,1
2019-10-01,ALT CAMP,208,1,1
2019-10-01,BAIX CAMP,1504,8,2
2019-10-01,BAIX EMPORDA,712,10,2
2019-10-01,BAIX LLOBREGAT,3754,11,3
2019-10-01,BARCELONES,14360,13,1
2019-10-01,CONCA DE BARBERA,152,16,1
2019-10-01,GARRAF,905,17,1
2019-10-01,GIRONES,968,20,1
2019-10-01,NOGUERA,107,23,1
2019-10-01,SOLSONES,40,35,1
2019-10-01,TARRAGONES,1874,36,1
2019-11-01,BAIX EBRE,387,9,1
2019-11-01,BAIX LLOBREGAT,4120,11,1
2019-11-01,CONCA DE BARBERA,115,16,2
2019-12-01,ALT EMPORDA,795,2,1
2019-12-01,BAIX EBRE,435,9,4
2019-12-01,BAIX EMPORDA,592,10,1
2019-12-01,GARRAF,932,17,1
2019-12-01,MARESME,2223,21,3
2019-12-01,SELVA,824,34,1
2019-12-01,TARRAGONES,1647,36,1
