ACT_NUM_ACTUACIO,NOM REGIO,TAL_COD_ALARMA1,TGA_NOM_GRUPO,TAL_COD_ALARMA2,TAL_NOM_ALARMA,CODI_INE,MUNICIPI,NOM_POBLACIO,CODI_COMARCA,NOM_COMARCA,ANY,MES,ACT_DAT_ACTUACIO,ACT_X_UTM,ACT_Y_UTM,CODI_REGIO,VALIDAT,LONGITUD,LATITUD,GEOREFERÈNCIA
232539916,Metropolitana Nord,SV,salvaments,MU,Salvament i/o rescat de muntanya,08261,Santa Susanna,Santa Susanna,21,Maresme,2023,10,08/10/2023,474668,4610652,25,N,2.695797715126492,41.6472077306809,POINT (2.695797715126 41.647207730681)
230315085,Lleida,SV,salvaments,MU,Salvament i/o rescat de muntanya,25043,"Vall de Boí, La","Vall de Boí, La",05,Alta Ribagorça,2023,10,08/10/2023,324638,4719040,03,N,0.862264040641893,42.603853695832,POINT (0.862264040642 42.603853695832)
232315301,Centre,SV,salvaments,MU,Salvament i/o rescat de muntanya,08175,Puig-reig,Cal Riera,14,Berguedà,2023,10,08/10/2023,407110,4642434,23,N,1.8796415782108,41.92840451498012,POINT (1.879641578211 41.92840451498)
230229809,Girona,SV,salvaments,MU,Salvament i/o rescat de muntanya,17095,Lloret de Mar,Lloret de Mar,34,Selva,2023,10,08/10/2023,487480,4620337,02,N,2.849448083699233,41.73474591484683,POINT (2.849448083699 41.734745914847)
230229850,Girona,SV,salvaments,RA,Acompanyament de persones perdudes,17185,Sant Joan les Fonts,Sant Joan les Fonts,19,Garrotxa,2023,10,08/10/2023,463030,4673271,02,N,2.552117097020222,42.210731354776094,POINT (2.55211709702 42.210731354776)
230420131,Tarragona,SV,salvaments,MU,Salvament i/o rescat de muntanya,43148,Tarragona,Tarragona,36,Tarragonès,2023,10,08/10/2023,357036,4556544,04,N,1.296329461300067,41.14762638042342,POINT (1.2963294613 41.147626380423)
230315095,Lleida,SV,salvaments,RC,Recerca persones perdudes o desaparegudes,25017,Alins,Alins,26,Pallars Sobirà,2023,10,08/10/2023,368710,4725076,03,N,1.397887997940804,42.66695501006803,POINT (1.397887997941 42.666955010068)
232315314,Centre,SV,salvaments,RG,Guiatge de persones perdudes,08142,"Nou de Berguedà, La","Nou de Berguedà, La",14,Berguedà,2023,10,08/10/2023,409029,4671887,23,N,1.89820661460816,42.19384960404564,POINT (1.898206614608 42.193849604046)
232703186,U.F. Val d'Aran,SV,salvaments,MU,Salvament i/o rescat de muntanya,25025,Naut Aran,Naut Aran,39,Val d'Aran,2023,10,08/10/2023,323163,4720033,27,N,0.843987210457269,42.612453200266195,POINT (0.843987210457 42.612453200266)
232703189,U.F. Val d'Aran,SV,salvaments,MU,Salvament i/o rescat de muntanya,25025,Naut Aran,Naut Aran,39,Val d'Aran,2023,10,08/10/2023,323516,4722013,27,N,0.847674126138888,42.63035275251933,POINT (0.847674126139 42.630352752519)
232315307,Centre,SV,salvaments,MU,Salvament i/o rescat de muntanya,25051,Bellver de Cerdanya,Ordèn,15,Cerdanya,2023,10,08/10/2023,399275,4695942,23,N,1.775907156979396,42.4092488900282,POINT (1.775907156979 42.409248890028)
232539897,Metropolitana Nord,SV,salvaments,MU,Salvament i/o rescat de muntanya,08209,Sant Fost de Campsentelles,Sant Fost de Campsentelles,41,Vallès Oriental,2023,10,08/10/2023,436406,4594137,25,N,2.238101277530562,41.49633051345607,POINT (2.238101277531 41.496330513456)
232539783,Metropolitana Nord,SV,salvaments,MU,Salvament i/o rescat de muntanya,08279,Terrassa,Terrassa,40,Vallès Occidental,2023,10,07/10/2023,420932,4602826,25,N,2.051591861200624,41.5732077255202,POINT (2.051591861201 41.57320772552)
230420068,Tarragona,SV,salvaments,MU,Salvament i/o rescat de muntanya,43137,Sant Jaume dels Domenys,Sant Jaume dels Domenys,12,Baix Penedès,2023,10,07/10/2023,376294,4573404,04,N,1.522329673806896,41.30261411272594,POINT (1.522329673807 41.302614112726)
232427970,Metropolitana Sud,SV,salvaments,MU,Salvament i/o rescat de muntanya,08244,Santa Coloma de Cervelló,Santa Coloma de Cervelló,11,Baix Llobregat,2023,10,07/10/2023,416903,4578861,24,N,2.006571606531197,41.35696663332968,POINT (2.006571606531 41.35696663333)
232703179,U.F. Val d'Aran,SV,salvaments,MU,Salvament i/o rescat de muntanya,25025,Naut Aran,Naut Aran,39,Val d'Aran,2023,10,07/10/2023,323826,4720824,27,N,0.851820259128898,42.619723485304554,POINT (0.851820259129 42.619723485305)
232315275,Centre,SV,salvaments,RG,Guiatge de persones perdudes,25100,Gósol,Gósol,14,Berguedà,2023,10,07/10/2023,391222,4677152,23,N,1.68160242029504,42.23898153319153,POINT (1.681602420295 42.238981533192)
232315279,Centre,SV,salvaments,MU,Salvament i/o rescat de muntanya,17099,Meranges,Meranges,15,Cerdanya,2023,10,07/10/2023,397879,4702681,23,N,1.757747513717074,42.46974348660951,POINT (1.757747513717 42.46974348661)
232427951,Metropolitana Sud,SV,salvaments,MU,Salvament i/o rescat de muntanya,08221,Sant Just Desvern,Sant Just Desvern,11,Baix Llobregat,2023,10,07/10/2023,424505,4583587,24,N,2.09685379796839,41.40028005228891,POINT (2.096853797968 41.400280052289)
232427975,Metropolitana Sud,SV,salvaments,MU,Salvament i/o rescat de muntanya,08240,Sant Sadurní d'Anoia,Sant Sadurní d'Anoia,03,Alt Penedès,2023,10,07/10/2023,398674,4586118,24,N,1.787471836187267,41.420233070696526,POINT (1.787471836187 41.420233070697)
230229736,Girona,SV,salvaments,MU,Salvament i/o rescat de muntanya,17043,Queralbs,Queralbs,31,Ripollès,2023,10,07/10/2023,430304,4693640,02,N,2.153226903901122,42.391925563307026,POINT (2.153226903901 42.391925563307)
230315058,Lleida,SV,salvaments,RC,Recerca persones perdudes o desaparegudes,25002,Àger,Àger,23,Noguera,2023,10,07/10/2023,307864,4660155,03,N,0.677530619394438,42.069970853337615,POINT (0.677530619394 42.069970853338)
230315055,Lleida,SV,salvaments,RC,Recerca persones perdudes o desaparegudes,25027,Anglesola,Anglesola,38,Urgell,2023,10,07/10/2023,341067,4613401,03,N,1.091200366400734,41.65651851752751,POINT (1.091200366401 41.656518517528)
232539811,Metropolitana Nord,SV,salvaments,MU,Salvament i/o rescat de muntanya,08266,Cerdanyola del Vallès,Cerdanyola del Vallès,40,Vallès Occidental,2023,10,07/10/2023,427172,4591664,25,N,2.127782071356752,41.47327161529551,POINT (2.127782071357 41.473271615296)
