Termometría. Temperaturas máximas. Media anual. Comarcas y Aran
2019
Unidades: Grados centígrados.
Fuente: Departamento de Territorio y Sostenibilidad. Servei Meteorològic de Catalunya.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15193&t=201900&lang=es
;Estaciones;Media mensual. Enero;Media mensual. Febrero;Media mensual. Marzo;Media mensual. Abril;Media mensual. Mayo;Media mensual. Junio;Media mensual. Julio;Media mensual. Agosto;Media mensual. Septiembre;Media mensual. Octubre;Media mensual. Noviembre;Media mensual. Diciembre;Media mensual. Media anual
Alt Camp;Vila-rodona;11,7;16,7;19,2;19,1;22,1;27,9;32,0;31,0;28,1;23,4;15,3;14,6;21,8
Alt Empordà;Roses;13,8;16,7;19,2;18,8;22,0;28,8;31,5;31,3;27,5;23,1;16,5;16,4;22,1
Alt Penedès;la Granada;12,4;17,0;19,5;18,9;21,7;28,3;31,8;30,6;27,3;23,7;16,3;14,9;21,9
Alt Urgell;la Seu d'Urgell;10,7;15,7;17,8;16,3;20,3;28,0;31,3;30,5;26,1;21,2;11,8;11,6;20,2
Alta Ribagorça;el Pont de Suert;10,6;15,6;17,6;16,5;21,0;27,8;31,1;29,7;25,7;20,7;11,5;11,4;20,0
Anoia;els Hostalets de Pierola;12,7;17,9;20,2;19,4;22,4;29,1;32,8;32,2;28,3;23,9;16,2;15,0;22,5
Aran;Vielha e Mijaran;4,4;12,5;14,3;13,8;16,8;24,8;27,2;26,4;21,4;18,2;8,9;9,6;16,5
Bages;Sant Salvador de Guardiola;10,4;17,0;19,6;19,1;23,0;30,7;34,2;33,2;28,5;23,7;14,7;12,9;22,3
Baix Camp;Vinyols i els Arcs;13,9;16,6;19,5;19,9;22,5;26,0;30,5;29,7;27,9;24,1;17,6;16,8;22,1
Baix Ebre;El Perelló;12,4;16,8;19,9;19,4;23,1;27,5;32,3;31,2;27,7;23,7;16,9;14,8;22,2
Baix Empordà;la Bisbal d'Empordà;13,9;17,6;18,7;18,4;22,0;28,6;31,9;31,8;27,2;24,1;17,0;16,2;22,3
Baix Llobregat;el Prat de Llobregat;14,0;17,1;18,8;19,1;21,6;27,0;31,8;31,3;27,8;24,1;18,0;16,6;22,3
Baix Penedès;el Vendrell;14,4;17,0;19,3;20,2;22,1;27,8;32,1;31,8;28,6;24,6;17,5;16,6;22,7
Barcelonès;Barcelona - el Raval;14,3;16,7;18,2;18,2;21,0;26,5;29,6;29,6;26,4;23,5;17,8;16,7;21,6
Berguedà;la Quar;8,7;14,6;17,3;15,9;20,2;29,0;32,4;31,7;25,3;20,6;11,1;10,7;19,8
Cerdanya;Puigcerdà;7,5;12,9;14,7;13,1;17,1;25,0;28,0;27,4;22,9;19,0;9,2;10,3;17,3
Conca de Barberà;l'Espluga de Francolí;9,3;15,2;17,9;17,8;22,0;28,4;32,2;31,2;27,1;21,6;13,3;11,7;20,7
Garraf;Canyelles;13,4;16,6;18,7;19,0;21,0;27,1;30,9;30,2;27,0;23,4;17,0;16,1;21,7
Garrigues;la Granadella;8,6;14,7;17,4;17,2;21,9;28,9;32,4;31,5;27,6;21,3;13,2;10,8;20,5
Garrotxa;Olot;12,3;16,4;18,1;17,2;20,9;29,6;32,7;32,4;27,1;23,0;14,9;14,3;21,6
Gironès;Girona;13,9;18,3;19,5;19,1;22,7;30,5;33,0;33,1;28,3;24,6;16,9;16,1;23,0
Maresme;Cabrils;14,2;15,9;17,5;17,4;19,2;25,6;28,4;28,7;25,7;23,0;17,4;16,6;20,8
Moianès;Moià;..;..;..;..;..;..;..;..;..;..;..;..;..
Montsià;Amposta;14,4;16,3;20,0;19,3;21,9;25,1;29,5;28,9;27,2;23,5;17,7;16,9;21,8
Noguera;Vallfogona de Balaguer;8,3;16,3;19,5;19,7;23,9;31,0;33,5;32,5;28,8;22,7;14,7;11,5;21,9
Osona;Gurb;9,5;16,4;18,1;16,8;21,3;29,9;33,5;33,3;27,3;22,8;13,6;11,4;21,2
Pallars Jussà;la Pobla de Segur;8,9;17,0;19,8;18,6;22,7;29,8;33,0;32,0;28,0;22,2;12,7;10,4;21,3
Pallars Sobirà;Sort;11,2;15,9;17,8;16,9;20,9;28,0;31,1;30,1;26,3;21,3;11,8;11,9;20,3
Pla d'Urgell;Mollerussa;8,5;16,0;19,4;19,5;24,0;31,0;33,8;32,5;28,4;22,2;14,5;11,6;21,8
Pla de l'Estany;Banyoles;12,9;16,8;18,9;18,4;21,7;29,5;32,6;32,4;27,8;23,8;16,0;15,2;22,2
Priorat;Falset;11,1;16,3;19,2;19,0;23,0;28,4;33,0;31,8;28,2;23,1;15,2;13,1;21,8
Ribera d'Ebre;Vinebre;13,1;18,4;21,4;21,3;25,7;31,3;35,4;34,3;30,7;25,4;17,6;14,6;24,1
Ripollès;Sant Pau de Segúries;9,8;13,6;14,9;13,7;17,2;25,7;28,5;28,4;23,4;19,1;11,3;11,5;18,1
Segarra;Cervera;6,5;13,7;16,5;16,8;21,2;29,0;32,7;31,4;26,6;20,6;11,9;9,9;19,8
Segrià;Raimat;8,6;15,6;18,7;18,8;23,1;29,8;32,4;31,6;27,9;22,1;14,2;11,3;21,2
Selva;Anglès;14,0;18,0;19,7;18,9;22,3;30,4;32,8;33,1;28,2;24,4;16,8;15,9;22,9
Solsonès;Solsona;9,2;15,8;17,5;16,6;21,1;29,9;33,8;32,8;27,6;22,1;12,6;12,3;21,0
Tarragonès;Tarragona - Complex Educatiu;15,1;16,7;19,4;20,0;22,5;25,8;30,4;29,8;27,4;24,4;17,9;17,1;22,2
Terra Alta;Horta de St. Joan;10,4;15,6;17,9;17,6;22,4;29,1;32,7;31,8;27,2;22,4;14,1;12,5;21,2
Urgell;Tàrrega;7,4;15,5;18,5;18,2;22,7;30,0;33,3;32,3;27,7;21,3;13,0;10,4;20,9
Vallès Occidental;Sabadell - Parc Agrari;12,7;17,0;19,1;18,1;21,3;28,6;31,4;31,3;27,1;22,9;15,6;14,5;21,7
Vallès Oriental;Caldes de Montbui;13,2;17,3;19,3;18,6;21,7;30,0;32,0;31,5;27,8;23,6;16,6;15,4;22,3

