Termometría. Temperaturas máximas. Media anual. Comarcas y Aran
2020
Unidades: Grados centígrados.
Fuente: Departamento de la Vicepresidencia y de Políticas Digitales y Territorio. Servei Meteorològic de Catalunya.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15193&t=202000&lang=es
;Estaciones;Media mensual. Enero;Media mensual. Febrero;Media mensual. Marzo;Media mensual. Abril;Media mensual. Mayo;Media mensual. Junio;Media mensual. Julio;Media mensual. Agosto;Media mensual. Septiembre;Media mensual. Octubre;Media mensual. Noviembre;Media mensual. Diciembre;Media mensual. Media anual
Alt Camp;Vila-rodona;13,3;17,6;16,6;18,9;25,0;25,6;31,8;31,4;26,5;21,1;18,1;12,7;21,6
Alt Empordà;Roses;14,6;17,4;16,3;18,8;25,1;26,4;31,7;31,6;26,9;20,8;18,2;13,9;21,8
Alt Penedès;la Granada;13,4;17,7;16,9;19,1;25,1;25,5;31,4;31,2;26,7;21,6;18,2;13,0;21,7
Alt Urgell;la Seu d'Urgell;10,6;16,7;14,1;17,0;23,9;23,8;30,2;30,6;24,9;18,0;14,9;9,3;19,5
Alta Ribagorça;el Pont de Suert;11,8;16,7;14,6;17,4;24,0;24,1;29,9;29,8;24,6;17,8;15,7;9,0;19,6
Anoia;els Hostalets de Pierola;13,9;18,6;17,1;19,2;25,4;25,9;32,3;32,4;28,1;22,3;18,6;13,5;22,3
Aran;Vielha e Mijaran;9,7;14,8;12,4;16,4;21,8;20,9;26,2;26,5;21,1;15,1;14,4;7,0;17,2
Bages;Sant Salvador de Guardiola;11,5;17,5;16,5;19,3;25,8;27,2;33,3;33,2;27,7;21,1;16,9;11,0;21,8
Baix Camp;Vinyols i els Arcs;14,7;18,5;17,5;19,0;24,6;25,6;30,4;30,3;27,0;22,8;19,2;14,9;22,1
Baix Ebre;El Perelló;12,6;18,6;17,3;18,9;24,9;26,5;31,8;31,8;28,1;22,7;18,2;13,4;22,1
Baix Empordà;la Bisbal d'Empordà;15,0;17,6;16,8;19,5;25,5;25,8;30,6;31,9;27,7;21,8;18,9;14,6;22,2
Baix Llobregat;el Prat de Llobregat;15,3;18,0;17,7;19,6;25,2;27,1;31,1;31,4;27,7;22,6;19,8;15,0;22,5
Baix Penedès;el Vendrell;15,2;18,2;17,7;20,1;26,2;27,8;33,1;31,8;27,4;22,7;19,4;14,6;22,9
Barcelonès;Barcelona - el Raval;15,3;17,8;17,1;19,0;24,5;25,3;29,0;29,8;26,8;22,0;19,1;15,0;21,7
Berguedà;la Quar;10,0;14,4;13,8;17,4;23,4;23,6;29,6;29,9;23,6;17,1;13,9;8,3;18,8
Cerdanya;Puigcerdà;9,2;14,9;12,3;15,4;21,2;21,6;28,0;27,4;21,0;15,3;13,5;6,5;17,2
Conca de Barberà;l'Espluga de Francolí;10,2;15,9;15,1;17,6;23,9;25,8;31,6;31,0;26,2;19,2;16,3;10,2;20,3
Garraf;Canyelles;14,3;17,7;17,1;19,1;25,0;25,4;30,4;30,4;26,6;21,9;18,6;13,9;21,7
Garrigues;la Granadella;9,0;15,4;14,9;18,0;24,3;26,2;32,4;31,7;26,6;19,2;15,1;10,0;20,2
Garrotxa;Olot;13,3;17,0;15,3;18,6;25,1;24,5;30,3;30,8;25,6;19,6;16,7;12,6;20,8
Gironès;Girona;14,9;18,2;17,2;19,8;26,8;26,8;32,0;32,5;28,0;21,9;18,9;14,3;22,6
Maresme;Cabrils;14,9;17,2;16,2;18,3;23,6;24,4;28,5;29,0;25,9;21,0;18,7;14,8;21,0
Moianès;Moià;..;..;..;..;..;..;..;..;..;..;..;..;..
Montsià;Amposta;14,4;18,0;17,4;18,9;24,4;25,3;28,7;29,5;26,7;22,0;18,7;15,0;21,6
Noguera;Vallfogona de Balaguer;8,8;16,4;16,9;20,7;26,5;29,1;33,9;33,2;28,2;21,1;15,9;10,5;21,8
Osona;Gurb;11,0;16,3;15,3;18,4;25,2;26,0;32,0;31,9;25,8;19,3;15,8;10,0;20,6
Pallars Jussà;la Pobla de Segur;9,1;17,4;16,3;19,0;25,8;26,2;31,7;31,8;27,1;19,5;15,3;9,1;20,7
Pallars Sobirà;Sort;11,3;17,0;15,0;17,9;24,2;24,0;30,0;29,8;24,6;17,7;15,6;9,2;19,7
Pla d'Urgell;Mollerussa;8,4;16,3;16,8;20,4;26,4;28,5;33,4;32,9;27,9;20,8;15,6;10,1;21,5
Pla de l'Estany;Banyoles;14,0;17,3;16,2;19,0;25,4;25,6;31,3;32,0;27,1;20,9;17,8;13,4;21,7
Priorat;Falset;11,7;17,6;16,4;18,5;24,8;27,1;32,9;32,6;28,6;21,5;17,4;11,8;21,7
Ribera d'Ebre;Vinebre;11,8;19,5;18,6;20,9;27,3;29,8;35,2;34,7;30,5;23,8;18,2;13,1;23,6
Ripollès;Sant Pau de Segúries;10,4;14,0;12,2;15,3;21,1;20,4;26,3;26,7;21,5;15,8;14,1;9,5;17,3
Segarra;Cervera;8,2;14,0;13,9;17,4;23,6;25,6;31,9;31,3;25,9;18,4;14,9;9,1;19,5
Segrià;Raimat;8,1;16,0;16,2;19,6;25,6;27,1;32,6;31,7;26,8;20,1;15,1;10,0;20,8
Selva;Anglès;14,9;18,8;16,9;19,8;26,6;26,2;31,5;31,9;27,3;21,9;18,7;14,0;22,4
Solsonès;Solsona;11,5;15,9;14,7;17,7;24,7;25,9;32,0;31,8;26,3;19,0;16,0;10,3;20,5
Tarragonès;Tarragona - Complex Educatiu;15,0;18,3;17,3;19,1;24,6;25,7;30,2;30,4;27,1;22,9;19,1;15,0;22,1
Terra Alta;Horta de St. Joan;10,4;16,8;15,0;17,9;23,9;26,4;31,7;31,5;26,7;20,3;16,1;11,3;20,7
Urgell;Tàrrega;8,2;15,1;15,4;18,9;25,2;27,4;32,9;32,3;27,0;19,8;15,2;9,7;20,6
Vallès Occidental;Sabadell - Parc Agrari;13,5;17,2;16,2;18,5;25,1;26,1;31,4;30,8;26,5;21,1;17,9;12,8;21,5
Vallès Oriental;Caldes de Montbui;14,2;18,0;16,6;19,1;25,8;26,6;31,5;31,6;27,6;21,6;18,4;13,6;22,1

