Termometría. Temperaturas máximas. Media anual. Comarcas y Aran
2021
Unidades: Grados centígrados.
Fuente: Departamento de Acción Climática, Alimentación y Agenda Rural.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15193&t=202100&lang=es
;Estaciones;Media mensual. Enero;Media mensual. Febrero;Media mensual. Marzo;Media mensual. Abril;Media mensual. Mayo;Media mensual. Junio;Media mensual. Julio;Media mensual. Agosto;Media mensual. Septiembre;Media mensual. Octubre;Media mensual. Noviembre;Media mensual. Diciembre;Media mensual. Media anual
Alt Camp;Vila-rodona;11,2;15,5;17,5;18,0;23,0;28,5;30,5;30,4;27,6;22,5;15,4;15,1;21,3
Alt Empordà;Roses;12,9;15,6;16,4;18,1;22,6;29,5;30,7;30,2;27,3;22,4;15,8;15,2;21,4
Alt Penedès;la Granada;11,9;15,8;17,5;18,1;23,1;28,7;30,4;29,9;27,1;22,2;15,5;15,2;21,3
Alt Urgell;la Seu d'Urgell;9,2;14,1;15,6;16,4;20,9;26,0;30,2;30,3;25,4;20,4;13,2;11,8;19,5
Alta Ribagorça;el Pont de Suert;8,4;14,3;15,8;16,2;20,9;25,2;29,4;29,9;24,2;19,8;13,0;11,4;19,1
Anoia;els Hostalets de Pierola;12,1;16,3;18,5;18,3;24,4;30,0;32,3;31,7;28,4;23,0;16,1;15,3;22,2
Aran;Vielha e Mijaran;4,6;13,8;13,2;14,9;18,3;23,7;25,0;25,7;22,6;18,5;8,5;7,9;16,4
Bages;Sant Salvador de Guardiola;10,2;15,7;17,9;18,1;24,4;31,0;33,6;32,9;28,4;22,8;14,2;12,8;21,9
Baix Camp;Vinyols i els Arcs;13,5;16,2;17,5;18,2;22,5;27,3;29,0;29,7;27,5;23,6;17,3;16,6;21,6
Baix Ebre;El Perelló;12,5;15,3;17,6;18,0;23,5;28,1;30,1;30,2;27,2;22,8;15,1;13,5;21,2
Baix Empordà;la Bisbal d'Empordà;13,1;16,4;17,0;18,7;22,7;29,6;30,6;29,6;28,0;23,3;16,4;15,8;21,8
Baix Llobregat;el Prat de Llobregat;13,6;16,6;17,1;18,5;22,6;29,0;30,9;30,6;28,7;23,5;17,4;16,7;22,1
