Termometría. Temperaturas máximas. Media anual. Comarcas y Aran														
2022														
Unidades: Grados centígrados.														
Fuente: Departamento de Acción Climática, Alimentación y Agenda Rural.														
(..) Dato confidencial, con baja fiabilidad o no disponible.														
Institut d'Estadística de Catalunya														
https://www.idescat.cat/indicadors/?id=aec&n=15193&lang=es														
	Estaciones	Media mensual. Enero	Media mensual. Febrero	Media mensual. Marzo	Media mensual. Abril	Media mensual. Mayo	Media mensual. Junio	Media mensual. Julio	Media mensual. Agosto	Media mensual. Septiembre	Media mensual. Octubre	Media mensual. Noviembre	Media mensual. Diciembre	Media mensual. Media anual
Alt Camp	Vila-rodona	14,5	16,4	15,2	19,5	26,3	30,4	32,5	32,9	27,6	25,5	19,3	16,1	23,1
Alt Empordà	Roses	14,3	16,9	15,6	18,8	26,3	31,0	33,2	32,7	27,3	24,5	19,1	15,5	23,0
Alt Penedès	la Granada	14,8	16,6	14,8	19,4	26,7	31,0	32,5	32,4	27,4	25,5	19,7	16,0	23,1
Alt Urgell	la Seu d'Urgell - Bellestar	12,6	15,7	13,2	18,1	25,6	31,3	33,8	31,0	24,7	22,0	14,9	10,9	21,2
Alta Ribagorça	el Pont de Suert	12,5	15,2	12,7	17,3	25,0	30,4	33,1	31,0	24,8	21,9	14,7	10,8	20,8
Anoia	els Hostalets de Pierola	15,5	17,4	15,0	19,8	27,6	32,4	34,1	34,2	28,2	25,7	20,2	16,4	23,9
Aran	Vielha - Elipòrt	7,3	12,3	13,3	15,6	22,8	27,5	29,7	29,9	23,2	22,4	12,9	10,9	19,0
Bages	Sant Salvador de Guardiola	12,8	16,5	15,0	19,9	27,8	33,4	35,6	34,2	27,9	25,7	18,3	13,6	23,4
Baix Camp	Vinyols i els Arcs	15,3	17,3	16,3	19,9	25,1	28,9	30,9	31,9	28,4	25,0	20,5	17,3	23,1
Baix Ebre	El Perelló	13,6	16,9	14,5	19,2	25,8	30,0	32,2	32,9	27,7	24,6	19,6	15,5	22,7
Baix Empordà	la Bisbal d'Empordà	14,6	17,5	15,6	19,4	26,5	31,4	33,4	33,3	27,9	25,4	19,2	16,0	23,4
Baix Llobregat	el Prat de Llobregat	15,4	17,2	16,1	20,1	26,6	30,8	32,9	33,4	28,4	25,6	20,6	17,3	23,7
Baix Penedès	el Vendrell	15,3	16,9	16,8	20,1	26,3	30,3	32,4	32,2	28,6	25,7	20,8	17,4	23,6
Barcelonès	Barcelona - el Raval	14,9	16,7	15,3	19,3	24,6	28,6	30,2	31,6	27,2	24,5	20,2	17,3	22,6
Berguedà	la Quar	10,9	13,4	11,1	17,3	25,0	30,4	34,0	31,1	24,7	22,2	14,7	10,9	20,5
Cerdanya	Puigcerdà	10,7	12,9	10,5	14,6	22,2	27,1	30,5	27,5	22,4	20,4	12,7	9,7	18,5
Conca de Barberà	l'Espluga de Francolí	12,0	14,7	13,5	17,8	25,7	30,8	33,2	32,8	26,5	24,5	17,3	13,8	21,9
Garraf	Canyelles	15,1	16,4	15,4	19,7	26,4	30,1	31,5	31,8	27,6	25,3	20,4	17,0	23,1
Garrigues	les Borges Blanques	10,7	15,8	15,1	19,5	28,2	33,0	34,6	34,0	27,6	25,9	17,8	12,8	23,0
Garrotxa	Olot	14,4	16,1	13,3	18,7	26,5	32,0	34,9	32,9	26,7	24,0	17,4	15,1	22,7
Gironès	Girona	15,0	17,6	15,5	20,0	27,3	33,0	34,9	34,7	28,5	25,9	19,4	16,4	24,1
Maresme	Cabrils	14,4	16,0	15,1	18,5	23,4	27,7	29,3	30,8	26,6	24,1	19,6	17,4	21,9
Moianès	Moià	..	..	..	..	..	..	..	..	..	..	..	..	..
Montsià	Amposta	14,8	16,7	15,3	19,2	24,9	27,8	29,4	30,8	28,0	24,8	19,9	16,7	22,4
Noguera	Vallfogona de Balaguer	10,3	15,9	16,1	19,9	28,7	33,6	35,0	34,5	28,7	26,6	18,4	12,6	23,4
Osona	Vic	11,7	15,1	13,0	18,1	26,0	31,4	34,3	33,4	26,8	24,7	16,7	12,8	22,1
Pallars Jussà	Tremp	12,1	16,7	15,4	19,8	28,1	34,2	36,1	34,4	27,9	23,9	15,6	8,2	22,7
Pallars Sobirà	Sort	12,8	16,0	14,0	18,2	25,6	31,2	33,6	31,2	25,1	22,1	15,3	10,8	21,4
Pla d'Urgell	Mollerussa	10,1	15,6	15,6	19,5	28,3	33,3	34,9	34,5	27,9	25,9	17,8	12,3	23,0
Pla de l'Estany	Banyoles	14,0	16,4	14,6	19,1	26,2	32,0	34,1	33,6	27,6	24,7	18,0	15,3	23,0
Priorat	Falset	12,7	15,9	14,1	18,8	26,6	31,2	33,1	34,5	28,2	25,5	19,0	15,0	22,9
Ribera d'Ebre	Vinebre	13,8	17,9	16,3	21,2	29,0	33,8	35,3	36,3	30,7	27,3	20,2	15,1	24,8
Ripollès	Sant Pau de Segúries	11,3	12,8	9,7	15,1	22,4	27,5	30,5	28,3	22,4	20,8	14,0	11,2	18,9
Segarra	Cervera	9,3	13,6	13,1	17,2	26,2	31,5	33,5	32,5	25,9	24,4	15,8	11,6	21,3
Segrià	Lleida - la Femosa	10,4	16,3	16,0	20,2	29,1	35,1	36,0	35,7	29,0	26,4	18,5	12,1	23,8
Selva	Anglès	15,3	17,6	15,2	19,9	27,5	32,8	34,6	34,3	28,3	26,0	19,8	17,0	24,0
Solsonès	Solsona	12,6	15,3	13,3	18,3	26,7	32,6	35,0	32,9	26,0	23,4	16,1	12,6	22,1
Tarragonès	Tarragona - Complex Educatiu	15,2	16,9	16,0	19,7	24,7	28,3	30,8	31,7	28,2	25,1	20,6	17,4	22,9
Terra Alta	Horta de St. Joan	12,0	15,1	12,3	17,3	25,7	31,2	33,3	33,3	27,2	25,5	17,5	14,2	22,1
Urgell	Tàrrega	9,9	14,6	14,4	18,9	27,7	32,9	34,7	34,3	27,4	25,6	17,1	12,2	22,5
Vallès Occidental	Sabadell - Parc Agrari	14,1	16,5	14,3	18,7	26,0	30,8	32,2	32,6	26,8	24,8	19,2	15,8	22,7
Vallès Oriental	Granollers	14,1	16,7	14,6	19,0	26,1	31,1	32,4	32,7	27,5	25,4	19,6	16,1	23,0
