COMARCA;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2020-13
Alt Camp;4.2;6.8;6.7;8.7;13.3;14.9;18.3;18.8;14.8;10.4;8.2;5.3;10.9
Alt Empordà;4.5;6.7;7.6;9.8;14.7;16.6;19.7;20.3;16;10.7;8.9;4.2;11.6
Alt Penedès;3.4;5.9;5.9;9;12.8;14.3;17.5;18.3;14.3;8.6;7.7;3.7;10.1
Alt Urgell;-1.4;0.4;2.6;5.9;9.4;10.8;14.1;13.8;10.1;3.8;2.4;-1.8;5.9
Alta Ribagorça;-3.6;-2.7;0.6;4.8;7.6;8.9;11.9;10.5;7.5;2;0.5;-3.7;3.7
Anoia;3.7;6.6;6.3;9.3;13.4;14.6;18.7;19;15;10;8;4.2;10.7
Aran;-0.2;2;1.5;5.8;8.1;8.7;12;12.2;8.5;4.5;3.4;-1;5.5
Bages;-0.1;2.6;3.5;6.7;10.4;12.9;15.7;16;12;5.8;4.5;0.4;7.6
Baix Camp;4;6.6;8.1;10;13.8;16.3;19.5;20.4;16.5;11.5;9.4;6.2;11.9
Baix Ebre;4.2;8.6;8.6;10.8;15.2;17;20.4;20.8;17;12.6;9.9;6.3;12.6
Baix Empordà;2.2;4.4;5.3;7.8;11.8;14.3;17.5;17.9;13.6;8.4;6.4;2.3;9.3
Baix Llobregat;5.1;6.9;7.4;10.2;13.7;15.7;19.3;19.9;16.4;10.1;9.6;4.9;11.6
Baix Penedès;3.2;5.7;6.4;9.3;12.9;15.5;19;19.9;15.7;10.1;8;4.6;10.9
Barcelonès;8.9;11.2;10.9;13.3;17.7;19.5;23.6;24;19.7;14.7;13.3;9.1;15.5
Berguedà;1.2;3.9;3;6.2;10.5;11.5;15.8;15.4;11.4;5.9;5.6;0.3;7.6
Cerdanya;-2.2;-0.5;1.1;3.9;7.1;8.7;11.4;11.4;8;2.6;1;-3;4.1
Conca de Barberà;1.4;4.4;4.8;6.8;11.4;13.1;15.9;16.7;12.7;8.3;5.4;2.9;8.6
Garraf;3.1;5.5;6;8.9;12.9;14.9;18.5;18.9;14.9;9.3;7.8;3.5;10.3
Garrigues;1.3;4.3;4.6;7.6;11.7;13.6;17.1;17.5;13.2;8.2;5.5;1.9;8.9
Garrotxa;-0.5;2.6;3.5;6;9.9;12.1;16;15.5;11.5;5.7;3.9;0.2;7.2
Gironès;0.4;3.2;4.2;7.3;10.9;13.5;16.9;16.8;12.5;7.2;5.2;1;8.3
Maresme;6;8.2;7.9;10.6;14.7;16.3;20.5;20.7;16.9;11.4;10.5;6;12.5
Montsià;5.1;8.1;9.1;11.6;15.9;18.3;21.4;21;17.2;13;10.9;7.1;13.2
Noguera;1.3;2.4;4.4;8.2;12.4;14.1;17.2;17;12.8;6.1;5.5;0.4;8.5
Osona;0;2.4;2.9;6;9.7;12.3;15.7;15.4;11.5;5.6;4.3;0.4;7.2
Pallars Jussà;-0.8;0.6;3.7;7.5;11.2;12.5;16.6;15.8;11.9;4.9;3.2;-1.7;7.1
Pallars Sobirà;-2;-0.6;2.8;6.1;9.6;10.9;14;13.2;10;4.1;1.6;-1.6;5.7
Pla d'Urgell;1.3;2.6;4.7;8;12.6;14.1;16.8;16.9;12.5;6.3;4.7;1.5;8.5
Pla de l'Estany;4;6.2;6.3;9.1;13.2;14.7;18.7;18.8;15.1;9.6;8;3.8;10.6
Priorat;2.4;6.1;6.2;9.3;12.9;14.8;17.9;18.5;15;9.4;7.6;3;10.3
Ribera d'Ebre;2.2;4;6.3;9.4;13.6;16.2;19.7;20.1;15.1;8.7;6.8;2.9;10.4
Ripollès;-2.2;0.8;1.6;4;7.4;9.7;13;12.4;8.6;3.8;2;-1.2;5
Segarra;1.3;4.1;4.3;7.5;11.8;13.1;17.2;17.6;13.2;7.9;6.2;1.8;8.8
Segrià;1;2.9;4.7;9;12.9;14.3;17.2;17.3;12.9;6.1;5.2;1.7;8.8
Selva;1.3;3.9;4.8;7.7;12.1;13.9;17.6;17.3;13.9;7.9;5.7;2.6;9.1
Solsonès;-0.3;2.3;2.9;5.9;9.9;11.5;15;15.1;11.2;5.6;4.2;0.4;7
Tarragonès;4.7;7.9;8.6;11.1;15.2;17.4;21.1;21.6;17.5;12.6;10.2;6.9;12.9
Terra Alta;1.7;5.9;5.9;8.2;12.3;13.8;17.2;17.6;14;9.6;6.9;3.6;9.7
Urgell;1.2;4.6;5;8.4;12.6;14.3;18.3;18.6;14.4;8.5;6.9;2;9.6
Vallès Occidental;2.5;5.4;5.2;7.9;11.5;14;17.7;18.1;13.9;8.4;7.3;3;9.6
Vallès Oriental;1.9;4;4.7;8.1;11.8;14.2;18.5;18.7;14.1;8.3;7.2;2.7;9.5
