Pluviometría. Precipitación mensual y anual. Comarcas y Aran
2018
Unidades: Milímetros.
Fuente: Departamento de Territorio y Sostenibilidad. Servei Meteorològic de Catalunya.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15195&t=201800&lang=es
;Estaciones;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
Alt Camp;Vila-rodona;23,5;72,2;45,2;90,4;81,1;40,4;4,2;41,8;38,4;198,3;51,8;6,5;693,8
Alt Empordà;Roses;21,8;44,3;48,9;63,3;33,1;25,2;22,4;70,7;2,3;222,1;81,3;20,5;655,9
Alt Penedès;la Granada;61,5;130,6;60,9;88,7;48,4;47,1;13,9;46,9;31,2;214,2;94,0;3,6;841,0
Alt Urgell;la Seu d'Urgell;58,9;73,7;55,4;96,7;143,7;40,8;51,0;33,8;63,0;125,7;52,0;6,0;800,7
Alta Ribagorça;el Pont de Suert;46,4;103,7;130,7;231,2;202,7;88,7;44,6;64,9;112,5;145,2;91,3;12,8;1274,7
Anoia;els Hostalets de Pierola;69,1;87,3;56,3;92,7;79,0;94,7;7,3;27,6;76,0;187,2;108,5;2,3;888,0
Aran;Vielha e Mijaran;123,0;192,3;112,7;160,3;155,4;83,9;58,7;96,8;67,8;116,1;43,0;37,1;1247,1
Bages;Sant Salvador de Guardiola;84,0;110,1;58,4;90,1;118,6;43,2;20,9;34,2;52,0;194,7;129,3;3,1;938,6
Baix Camp;Vinyols i els Arcs;12,0;88,3;19,7;62,3;19,8;9,3;5,2;100,1;29,8;275,6;55,3;5,1;682,5
Baix Ebre;el Perelló;11,8;59,1;18,3;45,3;52,1;3,5;18,7;21,3;41,9;190,2;59,0;6,2;527,4
Baix Empordà;la Bisbal d'Empordà;35,2;77,0;47,0;129,1;61,4;10,7;51,2;17,2;5,6;189,7;327,3;15,0;966,4
Baix Llobregat;el Prat de Llobregat;52,2;117,0;89,8;53,2;36,9;37,2;9,4;85,0;87,1;171,1;132,5;4,4;875,8
Baix Penedès;el Vendrell;26,7;111,2;42,5;66,6;19,2;32,8;28,4;89,9;96,8;239,8;71,9;4,2;830,0
Barcelonès;Barcelona - el Raval;55,4;89,6;79,1;48,6;87,6;12,9;24,7;96,2;154,8;187,9;168,8;4,6;1010,2
Berguedà;la Quar;92,6;142,2;59,2;107,1;189,1;82,5;73,6;194,3;79,1;206,5;71,5;5,7;1303,4
Cerdanya;Puigcerdà;69,7;80,0;43,0;104,6;107,7;37,4;75,2;75,3;44,6;141,6;39,9;9,2;828,2
Conca de Barberà;l'Espluga de Francolí;33,3;94,5;48,8;186,6;108,6;13,6;3,6;35,7;9,3;212,9;87,0;9,6;843,5
Garraf;Canyelles;43,0;139,6;62,6;75,5;21,7;56,4;6,6;67,9;74,8;222,4;84,1;4,6;859,2
Garrigues;la Granadella;29,9;42,0;38,5;48,3;61,2;10,5;12,0;19,8;8,7;145,7;98,3;9,7;524,6
Garrotxa;Olot;53,8;137,9;45,8;160,5;139,1;83,4;62,5;64,5;67,0;209,5;130,0;6,8;1160,8
Gironès;Girona;33,5;78,0;44,9;133,9;93,8;39,8;94,7;100,3;37,4;214,1;135,4;13,0;1018,8
Maresme;Cabrils;73,0;71,4;63,5;75,7;88,5;50,2;33,8;73,1;78,1;216,2;97,9;2,1;923,5
Moianès;Moià;..;..;..;..;..;..;..;..;..;..;..;..;..
