Pluviometría. Precipitación mensual y anual. Comarcas y Aran
2021
Unidades: Milímetros.
Fuente:
Departamento de Acción Climática, Alimentación y Agenda Rural.
Departamento de la Vicepresidencia y de Políticas Digitales y Territorio. Servei Meteorològic de Catalunya.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15195&t=202100&lang=es
;Estaciones;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
Alt Camp;Vila-rodona;25,8;39,6;19,1;26,5;37,2;33,1;20,0;24,1;32,1;30,7;80,7;1,9;370,8
Alt Empordà;Roses;53,4;39,2;6,1;40,9;26,6;4,2;8,8;6,4;50,7;13,9;122,3;13,3;385,8
Alt Penedès;la Granada;38,2;13,0;15,7;15,8;33,6;15,7;17,1;11,7;63,9;47,8;82,1;2,4;357,0
Alt Urgell;la Seu d'Urgell;27,1;31,0;4,9;72,3;41,6;96,2;55,3;8,0;58,6;46,7;33,8;22,7;498,2
Alta Ribagorça;el Pont de Suert;97,2;56,7;8,0;105,9;112,9;85,0;42,1;24,0;77,1;64,1;52,8;31,1;756,9
Anoia;els Hostalets de Pierola;26,2;18,0;5,7;43,3;26,7;9,4;24,6;11,9;65,7;32,9;73,4;1,1;338,9
Aran;Vielha e Mijaran;91,6;76,9;16,8;56,0;72,5;119,0;88,6;14,1;66,8;63,5;54,9;169,0;889,7
Bages;Sant Salvador de Guardiola;17,0;25,2;6,3;57,7;31,8;26,1;19,1;25,4;37,4;19,8;59,4;2,0;327,2
Baix Camp;Vinyols i els Arcs;55,2;15,4;7,2;24,8;35,6;80,1;15,2;48,9;70,6;21,1;88,5;2,1;464,7
Baix Ebre;el Perelló;47,5;32,9;4,1;49,2;20,9;65,1;33,7;98,7;83,0;39,5;223,3;2,5;700,4
Baix Empordà;la Bisbal d'Empordà;36,0;34,0;8,4;55,5;49,3;7,2;10,8;28,0;50,4;14,2;117,3;2,8;413,9
Baix Llobregat;el Prat de Llobregat;42,1;20,6;8,4;20,2;32,1;3,3;7,0;12,8;67,5;45,7;65,7;1,5;326,9
Baix Penedès;el Vendrell;36,1;23,8;10,3;36,4;44,1;17,3;6,3;11,0;81,5;63,5;106,9;2,5;439,7
