Pluviometría. Precipitación mensual y anual. Comarcas y Aran
2022
Unidades: Milímetros.
Fuente:
Departamento de Acción Climática, Alimentación y Agenda Rural.
Departamento de la Vicepresidencia y de Políticas Digitales y Territorio. Servei Meteorològic de Catalunya.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15195&lang=es
;Estaciones;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
Alt Camp;Vila-rodona;0,7;1,4;93,2;46,5;44,5;12,9;10,9;47,3;31,4;11,0;3,4;35,0;338,2
Alt Empordà;Roses;21,8;2,6;137,4;25,5;9,1;6,6;0,1;38,0;73,3;8,4;23,2;28,9;374,9
Alt Penedès;la Granada;1,7;2,0;66,2;69,5;32,3;10,4;29,7;67,4;18,4;16,6;3,4;29,8;347,4
Alt Urgell;la Seu d'Urgell - Bellestar;8,0;15,7;42,9;39,8;39,2;32,8;26,3;141,5;83,1;33,0;19,9;47,3;529,5
Alta Ribagorça;el Pont de Suert;10,7;31,6;74,6;79,8;25,8;42,0;34,0;115,5;54,1;103,7;45,0;70,0;686,8
Anoia;els Hostalets de Pierola;1,1;6,1;66,9;45,3;58,4;8,3;4,1;67,5;61,7;19,9;2,1;43,7;385,1
Aran;Vielha - Elipòrt;135,2;24,5;67,6;87,5;60,9;90,7;34,3;116,8;63,0;98,9;99,7;25,4;904,5
Bages;Sant Salvador de Guardiola;0,9;2,8;70,4;35,9;54,4;9,4;76,4;78,1;32,6;19,5;7,4;50,6;438,4
Baix Camp;Vinyols i els Arcs;3,0;0,5;84,3;46,2;33,7;17,9;13,0;10,5;104,0;7,1;3,5;34,6;358,3
Baix Ebre;el Perelló;2,5;0,7;91,9;86,1;34,7;9,5;19,9;30,3;108,9;8,1;7,9;23,1;423,6
Baix Empordà;la Bisbal d'Empordà;6,4;2,2;137,2;53,3;29,2;7,6;0,9;12,0;64,2;57,6;18,5;29,9;419,0
Baix Llobregat;el Prat de Llobregat;11,1;8,7;82,6;35,3;20,0;7,0;5,6;79,6;20,2;16,7;62,2;33,5;382,5
Baix Penedès;el Vendrell;4,5;0,9;106,8;36,1;25,5;7,6;41,2;48,0;35,8;10,5;5,7;20,5;343,1
Barcelonès;Barcelona - el Raval;7,0;2,9;94,5;40,1;20,5;5,4;8,0;58,9;19,0;12,1;32,4;30,6;331,4
Berguedà;la Quar;2,1;15,5;92,8;49,4;54,3;85,0;24,0;204,1;88,6;26,1;22,7;43,2;707,8
Cerdanya;Puigcerdà;25,1;6,9;41,2;21,3;78,9;40,7;13,5;91,3;47,0;31,4;18,1;29,3;444,7
Conca de Barberà;l'Espluga de Francolí;5,7;1,1;69,7;61,0;36,3;7,1;23,7;59,9;23,5;10,0;6,2;29,4;333,6
Garraf;Canyelles;1,7;11,7;51,8;22,1;22,2;10,4;30,5;63,7;18,7;4,8;6,8;26,6;271,0
Garrigues;les Borges Blanques;7,2;2,2;40,9;55,7;22,6;8,9;33,8;34,7;30,7;18,9;7,1;54,9;317,6
Garrotxa;Olot;0,6;6,3;147,5;62,1;109,3;14,9;10,2;186,9;165,4;22,5;34,5;15,8;776,0
Gironès;Girona;3,9;4,5;159,6;79,0;15,5;9,5;12,9;66,7;76,1;59,3;30,3;21,4;538,7
Maresme;Cabrils;8,3;0,8;108,9;59,9;16,3;6,4;9,0;33,7;26,8;9,9;18,4;29,9;328,3
Moianès;Moià;..;..;..;..;..;..;..;..;..;..;..;..;..
Montsià;Amposta;4,6;2,7;87,0;80,3;47,7;11,3;6,0;2,2;52,4;19,7;22,6;13,5;350,0
Noguera;Vallfogona de Balaguer;5,3;3,7;35,6;39,8;9,9;10,5;28,7;9,2;41,4;15,3;8,8;58,6;266,8
Osona;Vic;2,9;2,1;96,8;55,5;76,2;40,9;3,1;109,7;32,0;4,7;8,9;30,8;463,6
Pallars Jussà;Tremp;5,1;13,1;63,9;55,9;32,4;21,8;40,9;73,6;33,5;76,3;38,7;55,8;511,0
Pallars Sobirà;Sort;8,6;18,1;52,1;45,6;25,7;27,0;12,1;94,1;64,7;69,3;26,1;46,3;489,7
Pla d'Urgell;Mollerussa;6,8;2,8;46,1;50,2;27,2;14,1;22,1;20,1;37,9;39,0;5,8;45,3;317,4
Pla de l'Estany;Banyoles;3,8;2,4;159,4;89,0;26,9;5,3;0,1;71,1;126,8;46,4;37,0;18,3;586,5
Priorat;Falset;3,6;1,5;74,8;71,4;30,6;28,3;40,6;45,9;12,7;5,6;13,4;29,5;357,9
Ribera d'Ebre;Vinebre;5,9;1,4;56,7;70,1;13,9;11,7;45,6;18,6;20,7;5,0;65,8;29,7;345,1
Ripollès;Sant Pau de Segúries;1,8;23,0;191,9;46,4;99,8;39,7;34,9;170,6;159,8;18,6;30,1;26,1;842,7
