COMARCA;2021-1;2021-2;2021-3;2021-4;2021-5;2021-6;2021-7;2021-8;2021-9;2021-10;2021-11;2021-12;2021-13
Alt Camp;4.2;7.1;5.9;7.3;11.3;16;17.9;18.3;17;11.4;6.9;6.2;10.8
Alt Empordà;3;7.4;6.9;8;12.2;19;20;19.4;18.4;12.5;8.9;4.6;11.7
Alt Penedès;2.5;6.9;5.4;7;10.7;15.3;16.6;17.6;16.3;10.6;6;4.9;10
Alt Urgell;-3.4;1.4;1;3.2;7.5;11.6;13.5;14;11.7;4.9;0.3;-1.1;5.4
Alta Ribagorça;-6.1;-1;-1.2;1.5;4.7;9;10.2;10.4;9.5;2.4;-2.2;-3.3;2.9
Anoia;2.7;6.8;5.7;7.2;11.3;16.5;18.2;18.5;16.6;11.6;6;5;10.5
Aran;-3.4;2.7;1.2;2.9;5.3;10;11;11.2;10.4;4.1;0;0.7;4.7
Bages;-0.9;4;1.9;4.4;8.7;13;15.2;15.8;14;7.9;1.7;0.8;7.2
Baix Camp;4.7;7.7;7;8.2;12.3;16.7;19.2;20;18.5;12.6;8.5;6.4;11.8
Baix Ebre;5.7;8.6;7.7;8.8;12.8;17.3;19.8;19.8;18.4;13;8.3;7.1;12.3
Baix Empordà;0.6;5;3.7;5.2;10.3;15.4;16.9;16.8;16.7;9.8;6.4;2.4;9.1
Baix Llobregat;3.8;7.1;6.6;7.7;11.1;16.9;17.8;18.9;18.2;13.1;7.6;5.8;11.2
Baix Penedès;2.7;6.9;5.5;7.4;11.5;16.5;18.8;19.4;17.8;11.6;6.3;5.4;10.8
Barcelonès;7.4;11.2;10.5;11.9;15.5;21.4;22.9;22.9;21.5;16.8;10.9;9.8;15.2
Berguedà;-2;3.3;2.5;4.3;8;12.8;14.7;15.2;12.9;8.5;2.6;1.8;7.1
Cerdanya;-4.2;0.4;-0.4;1.1;4.9;9;10.8;11.1;9.4;2.8;-0.8;-2.2;3.5
Conca de Barberà;1.9;5.1;3.3;5.1;9.2;13.9;15.8;16.1;14.4;8.3;4.4;3.4;8.4
Garraf;2;6.7;5;6.8;11.2;16.1;17.7;18.3;16.8;10.9;6.3;4.8;10.2
Garrigues;0.9;4.7;3.2;5.2;9.5;14.5;17.1;16.9;15.1;8.9;3.1;3;8.5
Garrotxa;-1.9;3.6;2;3.5;8.2;12.8;14.5;15.1;13.4;7.5;2.3;-0.5;6.7
Gironès;-1.1;4.7;2.4;4.5;9.4;13.8;15.2;15.6;15.4;8.3;3.4;0.2;7.7
Maresme;4.6;8;7.5;9.1;12.4;18.2;19.9;19.8;18.7;13.9;8.6;6.7;12.3
Montsià;5.5;8.2;8;9.9;14.5;18.9;20.6;20.5;18.8;13.9;9.8;7.7;13
Noguera;-0.9;4.7;2.2;6.1;10.3;14.9;16.8;17;15;7.9;1.4;1.6;8.1
Osona;-1.2;2.9;1.9;3.3;7.4;11.6;14.3;15.2;13.6;8.5;2;-0.7;6.6
Pallars Jussà;-3.3;2.5;2.2;5.2;8.7;13.5;15.8;16;13.4;6.1;0.2;-2;6.5
Pallars Sobirà;-3.4;0.8;1.8;3.8;6.8;11;12.9;12.8;11.5;4.1;0.9;-1.7;5.1
Pla d'Urgell;-0.3;4.7;2.7;5.2;10;14.5;16.1;16.3;14.6;7.1;1.6;1.9;7.9
Pla de l'Estany;1.6;6.7;5.4;7;11;16.7;17.9;18.2;16.8;11.1;6.1;4.3;10.3
Priorat;1.7;6.5;4.9;6.9;10.8;15.6;17.7;18.1;16.4;10.6;4.3;4;9.8
Ribera d'Ebre;0.3;5.9;4.4;7.5;11.9;16.3;19.5;19.4;17.5;9;4.3;4.4;10.1
Ripollès;-3.6;1;0.3;2.4;7;10.5;12.4;13.2;11.2;5.3;0.4;-1.7;4.9
Segarra;0.3;5.3;3.3;5.3;9.3;14.2;16.3;17.1;14.8;9;3;2.1;8.4
Segrià;-0.9;5.1;3;6.3;9.8;14.8;16.4;16.2;14.8;7;0.6;2;7.9
Selva;1.3;5.2;3.3;5.4;9.5;15.1;15.9;16.2;15.5;9.1;4.1;1.8;8.6
Solsonès;-1.4;3.4;1.7;3.8;7.7;12.1;14.3;15;12.6;6.6;1.7;1.2;6.6
Tarragonès;4.2;8.7;7.8;9.7;13.8;18.7;20.8;21.2;19.5;13.9;8.1;7.4;12.8
Terra Alta;2.9;5.8;5.1;6.2;10.1;14.9;16.6;17;15.3;9.8;5.1;3.7;9.4
Urgell;0.6;5.9;4;6.2;10.2;15.5;17.5;18.2;15.9;10.1;3.6;2.5;9.2
Vallès Occidental;1.3;6;4.3;5.6;9.9;15;17.4;17.7;16;10.5;5;3.7;9.4
Vallès Oriental;0.8;5.2;3.5;5.7;9.7;15.3;17.8;18.1;16.5;10.7;4.7;2.6;9.2
