2018-1;2018-2;2018-3;2018-4;2018-5;2018-6;2018-7;2018-8;2018-9;2018-10;2018-11;2018-12;2018-13
23.5;72.2;45.2;90.4;81.1;40.4;4.2;41.8;38.4;198.3;51.8;6.5;693.8
21.8;44.3;48.9;63.3;33.1;25.2;22.4;70.7;2.3;222.1;81.3;20.5;655.9
61.5;130.6;60.9;88.7;48.4;47.1;13.9;46.9;31.2;214.2;94;3.6;841
58.9;73.7;55.4;96.7;143.7;40.8;51;33.8;63;125.7;52;6;800.7
46.4;103.7;130.7;231.2;202.7;88.7;44.6;64.9;112.5;145.2;91.3;12.8;1274.7
69.1;87.3;56.3;92.7;79;94.7;7.3;27.6;76;187.2;108.5;2.3;888
123;192.3;112.7;160.3;155.4;83.9;58.7;96.8;67.8;116.1;43;37.1;1247.1
84;110.1;58.4;90.1;118.6;43.2;20.9;34.2;52;194.7;129.3;3.1;938.6
12;88.3;19.7;62.3;19.8;9.3;5.2;100.1;29.8;275.6;55.3;5.1;682.5
11.8;59.1;18.3;45.3;52.1;3.5;18.7;21.3;41.9;190.2;59;6.2;527.4
35.2;77;47;129.1;61.4;10.7;51.2;17.2;5.6;189.7;327.3;15;966.4
52.2;117;89.8;53.2;36.9;37.2;9.4;85;87.1;171.1;132.5;4.4;875.8
26.7;111.2;42.5;66.6;19.2;32.8;28.4;89.9;96.8;239.8;71.9;4.2;830
55.4;89.6;79.1;48.6;87.6;12.9;24.7;96.2;154.8;187.9;168.8;4.6;1010.2
92.6;142.2;59.2;107.1;189.1;82.5;73.6;194.3;79.1;206.5;71.5;5.7;1303.4
69.7;80;43;104.6;107.7;37.4;75.2;75.3;44.6;141.6;39.9;9.2;828.2
33.3;94.5;48.8;186.6;108.6;13.6;3.6;35.7;9.3;212.9;87;9.6;843.5
43;139.6;62.6;75.5;21.7;56.4;6.6;67.9;74.8;222.4;84.1;4.6;859.2
29.9;42;38.5;48.3;61.2;10.5;12;19.8;8.7;145.7;98.3;9.7;524.6
53.8;137.9;45.8;160.5;139.1;83.4;62.5;64.5;67;209.5;130;6.8;1160.8
33.5;78;44.9;133.9;93.8;39.8;94.7;100.3;37.4;214.1;135.4;13;1018.8
73;71.4;63.5;75.7;88.5;50.2;33.8;73.1;78.1;216.2;97.9;2.1;923.5
7.8;49.7;15.8;40.5;35.4;15.8;11.9;23.7;67.5;198.6;91.6;6.2;564.5
29.4;56.6;55.4;105.1;101.7;13.3;4.4;10.7;0.3;130.2;54.6;12.6;574.3
63.8;106.2;39.6;82.2;152.3;87.3;54.9;249.8;68.3;201.2;78.8;8.4;1192.8
28.4;85;86.2;144.1;124.5;76;23.3;86.9;52.6;148.8;88.7;10.2;954.7
47.4;67.9;81.9;113.8;114.9;79.8;83.1;112.2;74.3;107.6;68.1;10.1;961.1
27.2;44;48.5;77.2;53.8;3;21.3;11.6;0.9;132.1;70.3;16.5;506.4
56;79.1;27;139.6;112.3;93.3;49.4;77.9;57.1;240.4;231.6;12.5;1176.2
21.7;87.9;41.6;88.1;131.6;2.3;9.3;43.7;12.8;243;137.9;7.9;827.8
24;42.8;26;74.2;71.6;2.1;9.7;16.2;4.7;149;67.6;7.9;495.8
87.1;144.6;54.1;173.7;159.6;114.1;97.6;114.7;165.3;321.9;151.7;4.8;1589.2
31.6;28.4;68.9;51;100;33;7.1;35.7;42.1;123.9;60.3;7.3;589.3
21.3;27.3;43.9;91.4;48.3;16.5;27.8;23;6.9;108.8;55.4;14.4;485
32.4;133.8;50.7;142.9;163.2;76;80.2;70;33.4;309;188.1;8.3;1288
84.8;89.8;65.1;99.5;78.6;86.4;28.3;47.3;24.7;184.7;100.7;8.7;898.6
18.1;83.1;22.4;45.6;3;9.3;2;77.5;44.1;386.5;66;5.2;762.8
114.1;43;37.8;79.1;62.8;16.3;29.6;6.9;2.2;231.1;80.7;12.4;716
30.1;34.5;70.3;79.6;82.1;21.6;16.9;19;14.9;103.5;65.8;13.5;551.8
72.7;85.5;86.1;91.2;44.9;70.5;37.6;77.5;39.4;154.6;156.2;3.2;919.4
73.8;91.1;74.6;77.1;52.4;43.6;18.5;26.2;41.5;142.3;106.3;6.9;754.3
