DATE;Pluvi
2018-1;21.8
2018-2;44.3
2018-3;48.9
2018-4;63.3
2018-5;33.1
2018-6;25.2
2018-7;22.4
2018-8;70.7
2018-9;2.3
2018-10;222.1
2018-11;81.3
2018-12;20.5
2019-1;9.6
2019-2;3.9
2019-3;0.1
2019-4;54.8
2019-5;33.9
2019-6;10.8
2019-7;19.7
2019-8;2.1
2019-9;92.5
2019-10;157.8
2019-11;46.8
2019-12;90.9
2020-1;183.3
2020-2;2.1
2020-3;31.3
2020-4;234.3
2020-5;27.1
2020-6;32.4
2020-7;9.8
2020-8;11.2
2020-9;41.3
2020-10;58.8
2020-11;52.9
2020-12;9.7
2021-1;53.4
2021-2;39.2
2021-3;6.1
2021-4;40.9
2021-5;26.6
2021-6;4.2
2021-7;8.8
2021-8;6.4
2021-9;50.7
2021-10;13.9
2021-11;122.3
2021-12;13.3
2022-1;21.8
2022-2;2.6
2022-3;137.4
2022-4;25.5
2022-5;9.1
2022-6;6.6
2022-7;0.1
2022-8;38
2022-9;73.3
2022-10;8.4
2022-11;23.2
2022-12;28.9
