DATE;Pluvi
2018-1;55.4
2018-2;89.6
2018-3;79.1
2018-4;48.6
2018-5;87.6
2018-6;12.9
2018-7;24.7
2018-8;96.2
2018-9;154.8
2018-10;187.9
2018-11;168.8
2018-12;4.6
2019-1;24.4
2019-2;0.9
2019-3;0.7
2019-4;19.8
2019-5;70.5
2019-6;24.1
2019-7;59
2019-8;38.1
2019-9;151.3
2019-10;82.7
2019-11;51.5
2019-12;103.6
2020-1;120.4
2020-2;1.4
2020-3;46.9
2020-4;261
2020-5;18.9
2020-6;47.7
2020-7;83.4
2020-8;33
2020-9;99.5
2020-10;67.2
2020-11;67.2
2020-12;9.1
2021-1;33.8
2021-2;23.6
2021-3;11
2021-4;19.1
2021-5;36.3
2021-6;3.8
2021-7;6.8
2021-8;13.4
2021-9;44
2021-10;56.9
2021-11;79
2021-12;1.7
2022-1;7
2022-2;2.9
2022-3;94.5
2022-4;40.1
2022-5;20.5
2022-6;5.4
2022-7;8
2022-8;58.9
2022-9;19
2022-10;12.1
2022-11;32.4
2022-12;30.6
