Tipus pla,Número d'inscripció,Nom del pla,Estat,Data d'homologació,Últim esdeveniment,Data de l'últim esdeveniment,Ine5,Municipi,Comarca,Servei territorial,Vegueria,Província
-,2208,PA PROCICAT - Emergències Episodis Contaminació a l'Ebre (Flix),Aprovat pendent revisió,,Actualització,13/02/2014,,,,,,
-,1296,PA del PROCICAT per Subsidència al barri de l'Estació de Sallent,Revisió,,Actualització,26/04/2012,,,,,,
E,2654,PAM INFOCAT La Selva del Camp,Homologat pendent de revisió,22/10/2009,Homologació,22/10/2009,43145,Selva del Camp,Baix Camp,Tarragona,Tarragona,Tarragona
E,2941,PAM SISMICAT Queralbs,Homologat pendent de revisió,08/09/2010,Homologació,08/09/2010,17043,Queralbs,Ripollès,Girona,Girona,Girona
E,2423,PAM INFOCAT Arsèguel,Homologat pendent de revisió,09/07/2009,Homologació,09/07/2009,25032,Arsèguel,Alt Urgell,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,2745,PAM INFOCAT Madremanya,Homologat pendent de revisió,17/12/2009,Homologació,17/12/2009,17097,Madremanya,Gironès,Girona,Girona,Girona
E,9035,PAM VENTCAT Tàrrega,Homologat,10/03/2022,Homologació,10/03/2022,25217,Tàrrega,Urgell,Lleida,Lleida,Lleida
E,8101,PAM INFOCAT Colera,Homologat,10/12/2021,Homologació,10/12/2021,17054,Colera,Alt Empordà,Girona,Girona,Girona
E,10278,PAM NEUCAT Avià,Homologat,06/10/2022,Homologació,06/10/2022,08011,Avià,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,5786,PAM NEUCAT Sant Quirze del Vallès,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,08238,Sant Quirze del Vallès,Vallès Occidental,Barcelona,Barcelona,Barcelona
E,2090,PAM INFOCAT Riudellots de la Selva,Homologat pendent de revisió,06/05/2008,Homologació,06/05/2008,17150,Riudellots de la Selva,Selva,Girona,Girona,Girona
T,1236,PBEM Cabrils,Homologat pendent de revisió,25/04/2006,Homologació,25/04/2006,08030,Cabrils,Maresme,Barcelona,Barcelona,Barcelona
E,5791,PAM VENTCAT Sant Quirze del Vallès,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,08238,Sant Quirze del Vallès,Vallès Occidental,Barcelona,Barcelona,Barcelona
E,9051,PAM INUNCAT Maià de Montcal,Homologat,10/03/2022,Homologació,10/03/2022,17098,Maià de Montcal,Garrotxa,Girona,Girona,Girona
E,5329,PAM NEUCAT Begur,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17013,Begur,Baix Empordà,Girona,Girona,Girona
E,3234,PAM INFOCAT Vilajuïga,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,17223,Vilajuïga,Alt Empordà,Girona,Girona,Girona
E,8051,PAM INUNCAT  Guissona,Homologat,10/12/2021,Revisió,10/12/2021,25110,Guissona,Segarra,Lleida,Lleida,Lleida
E,4552,PAM INUNCAT Sant Pol de Mar,Homologat pendent de revisió,11/06/2015,Homologació,11/06/2015,08235,Sant Pol de Mar,Maresme,Barcelona,Barcelona,Barcelona
E,2432,PAM NEUCAT Talarn,Homologat pendent de revisió,09/07/2009,Homologació,09/07/2009,25215,Talarn,Pallars Jussà,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,10018,PAM SISMICAT Toses,Homologat,06/10/2022,Homologació,06/10/2022,17201,Toses,Ripollès,Girona,Girona,Girona
E,4770,PAM INFOCAT Sant Aniol de Finestres,Homologat pendent de revisió,14/09/2016,Homologació,14/09/2016,17183,Sant Aniol de Finestres,Garrotxa,Girona,Girona,Girona
E,5521,PAM VENTCAT Ciutadilla,Homologat pendent de revisió,05/12/2018,Actualització,28/02/2020,25074,Ciutadilla,Urgell,Lleida,Lleida,Lleida
E,10601,PAM INFOCAT Vinaixa,Homologat,06/10/2022,Revisió,06/10/2022,25255,Vinaixa,Garrigues,Lleida,Lleida,Lleida
E,6560,PAM INFOCAT Santa Eulàlia de Riuprimer,Homologat,02/12/2020,Homologació,02/12/2020,08247,Santa Eulàlia de Riuprimer,Osona,Catalunya Central,Catalunya Central,Barcelona
E,1926,PAM INFOCAT Pontós,Homologat pendent de revisió,06/05/2008,Homologació,06/05/2008,17136,Pontós,Alt Empordà,Girona,Girona,Girona
E,5286,PAM SISMICAT Sant Martí de Centelles,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08224,Sant Martí de Centelles,Osona,Catalunya Central,Catalunya Central,Barcelona
E,9061,PAM SISMICAT Viladamat,Homologat,10/03/2022,Actualització,15/12/2022,17217,Viladamat,Alt Empordà,Girona,Girona,Girona
E,5062,PAM SISMICAT La Guingueta d'Àneu,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25903,Guingueta d'Àneu,Pallars Sobirà,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,4789,PAM SISMICAT La Bisbal d'Empordà,Homologat pendent de revisió,14/09/2016,Homologació,14/09/2016,17022,Bisbal d'Empordà,Baix Empordà,Girona,Girona,Girona
E,4732,PAM INUNCAT Breda,Homologat pendent de revisió,14/09/2016,Homologació,14/09/2016,17027,Breda,Selva,Girona,Girona,Girona
T,5283,PBEM Sant Agustí de Lluçanès,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08195,Sant Agustí de Lluçanès,Osona,Catalunya Central,Catalunya Central,Barcelona
E,8129,PAM INUNCAT  La Torre de Cabdella,Homologat,10/12/2021,Homologació,10/12/2021,25227,Torre de Cabdella,Pallars Jussà,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,8214,PAM TRANSCAT Esparreguera,Homologat,10/12/2021,Homologació,10/12/2021,08076,Esparreguera,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,2024,PAM NEUCAT Sant Llorenç de la Muga,Homologat pendent de revisió,10/07/2008,Homologació,10/07/2008,17171,Sant Llorenç de la Muga,Alt Empordà,Girona,Girona,Girona
E,1868,PAM INFOCAT Vilamalla,Homologat pendent de revisió,14/02/2008,Homologació,14/02/2008,17226,Vilamalla,Alt Empordà,Girona,Girona,Girona
E,8257,PAM INUNCAT  Sant Martí Sarroca,Homologat,10/12/2021,Homologació,10/12/2021,08227,Sant Martí Sarroca,Alt Penedès,Barcelona,Penedès,Barcelona
E,8805,PAM INFOCAT Sant Vicenç de Castellet,Homologat pendent de revisió,05/12/2018,Actualització,10/12/2021,08262,Sant Vicenç de Castellet,Bages,Catalunya Central,Catalunya Central,Barcelona
E,6468,PAM NEUCAT Llançà,Homologat,30/10/2020,Homologació,30/10/2020,17092,Llançà,Alt Empordà,Girona,Girona,Girona
F,4067,PEM Festa de la Galera Cambrils,Homologat pendent de revisió,25/04/2013,Homologació,25/04/2013,43038,Cambrils,Baix Camp,Tarragona,Tarragona,Tarragona
E,8452,PAM PLASEQCAT Hostalric,Homologat,10/12/2021,Homologació,10/12/2021,17083,Hostalric,Selva,Girona,Girona,Girona
F,540,PEM Pirotècnic Vilassar de Mar,Homologat pendent de revisió,16/07/1998,Homologació,16/07/1998,08219,Vilassar de Mar,Maresme,Barcelona,Barcelona,Barcelona
E,6471,PAM VENTCAT Llançà,Homologat,30/10/2020,Homologació,30/10/2020,17092,Llançà,Alt Empordà,Girona,Girona,Girona
E,6581,PAM SISMICAT Sant Pau de Segúries,Homologat,02/12/2020,Homologació,02/12/2020,17177,Sant Pau de Segúries,Ripollès,Girona,Girona,Girona
T,1457,PBEM Santa Pau,Homologat pendent de revisió,15/12/2006,Actualització,09/07/2009,17184,Santa Pau,Garrotxa,Girona,Girona,Girona
T,8175,PBEM Organyà,Homologat,10/12/2021,Homologació,10/12/2021,25155,Organyà,Alt Urgell,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,1444,PAM INFOCAT Talamanca,Homologat pendent de revisió,15/12/2006,Homologació,15/12/2006,08277,Talamanca,Bages,Catalunya Central,Catalunya Central,Barcelona
E,9950,PAM INFOCAT Pinós,Homologat,06/10/2022,Homologació,06/10/2022,25167,Pinós,Solsonès,Catalunya Central,Catalunya Central,Lleida
E,6604,PAM INFOCAT Brunyola,Homologat,22/12/2020,Homologació,22/12/2020,17028,Brunyola i Sant Martí Sapresa,Selva,Girona,Girona,Girona
E,3184,PAM TRANSCAT Montagut i Oix,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,17109,Montagut i Oix,Garrotxa,Girona,Girona,Girona
T,1346,PBEM Juià,Homologat pendent de revisió,05/07/2006,Homologació,05/07/2006,17087,Juià,Gironès,Girona,Girona,Girona
E,9006,PAM NEUCAT Arenys de Mar,Homologat,10/03/2022,Homologació,10/03/2022,08006,Arenys de Mar,Maresme,Barcelona,Barcelona,Barcelona
E,5658,PAM INUNCAT Vila-seca,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43171,Vila-seca,Tarragonès,Tarragona,Tarragona,Tarragona
E,10809,PAM NEUCAT Montornès de Segarra,Homologat,15/12/2022,Revisió,15/12/2022,25143,Montornès de Segarra,Segarra,Lleida,Lleida,Lleida
E,5651,PAM INFOCAT Vandellòs i l'Hospitalet de l'Infant,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43162,Vandellòs i l'Hospitalet de l'Infant,Baix Camp,Tarragona,Tarragona,Tarragona
E,5338,PAM SISMICAT Campllong,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17038,Campllong,Gironès,Girona,Girona,Girona
E,8747,PAM NEUCAT Sant Quirze Safaja,Homologat,10/12/2021,Homologació,10/12/2021,08239,Sant Quirze Safaja,Moianès,Catalunya Central,Catalunya Central,Barcelona
E,8404,PAM NEUCAT Santa Maria d'Oló,Homologat,10/12/2021,Homologació,10/12/2021,08258,Santa Maria d'Oló,Moianès,Catalunya Central,Catalunya Central,Barcelona
T,8443,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Garriguella,Homologat,10/12/2021,Homologació,10/12/2021,17077,Garriguella,Alt Empordà,Girona,Girona,Girona
E,10429,PAM INFOCAT Oliola,Homologat,06/10/2022,Homologació,06/10/2022,25150,Oliola,Noguera,Lleida,Lleida,Lleida
F,4112,PEM Àrees pública concurrència - Mercat Ambulant Cambrils,Homologat pendent de revisió,13/06/2013,Homologació,13/06/2013,43038,Cambrils,Baix Camp,Tarragona,Tarragona,Tarragona
