,Tipus pla,Nom del pla,Últim esdeveniment,Data de l'últim esdeveniment,Municipi,Comarca,Província
2766,E,PAM NEUCAT,Homologació,2018-12-05,Vidrà,Osona,Girona
2231,E,PAM INUNCAT,Homologació,2018-12-05,Xerta,Baix Ebre,Tarragona
838,E,PAM ALLAUCAT,Homologació,2018-12-05,Arres,Val d'Aran,Lleida
840,E,PAM INFOCAT,Homologació,2018-12-05,Serinyà,Pla de l'Estany,Girona
2229,E,PAM INFOCAT,Homologació,2018-12-05,Josa i Tuixén,Alt Urgell,Lleida
850,E,PAM SISMICAT,Homologació,2018-12-05,Palau-sator,Baix Empordà,Girona
862,E,PAM NEUCAT,Homologació,2018-12-05,Paüls,Baix Ebre,Tarragona
864,E,PAM NEUCAT,Homologació,2018-12-05,Sant Feliu de Guíxols,Baix Empordà,Girona
835,E,PAM INUNCAT,Homologació,2018-12-05,Folgueroles,Osona,Barcelona
865,E,PAM NEUCAT,Homologació,2018-12-05,Colomers,Baix Empordà,Girona
868,E,PAM SISMICAT,Homologació,2018-12-05,Arres,Val d'Aran,Lleida
869,E,PAM INUNCAT,Homologació,2018-12-05,Igualada,Anoia,Barcelona
870,E,PAM NEUCAT,Homologació,2018-12-05,Rodonyà,Alt Camp,Tarragona
2213,E,PAM INFOCAT,Homologació,2018-12-05,Torroella de Montgrí,Baix Empordà,Girona
874,E,PAM SISMICAT,Homologació,2018-12-05,Llívia,Cerdanya,Girona
884,E,PAM SISMICAT,Homologació,2018-12-05,Igualada,Anoia,Barcelona
867,E,PAM VENTCAT,Homologació,2018-12-05,Torroella de Montgrí,Baix Empordà,Girona
895,E,PAM SISMICAT,Homologació,2018-12-05,Vila-seca,Tarragonès,Tarragona
2235,E,PAM INUNCAT,Homologació,2018-12-05,Gualta,Baix Empordà,Girona
828,E,PAM INFOCAT,Homologació,2018-12-05,Folgueroles,Osona,Barcelona
755,E,PAM INFOCAT,Homologació,2018-12-05,Vielha e Mijaran,Val d'Aran,Lleida
2279,E,PAM NEUCAT,Homologació,2018-12-05,Lluçà,Lluçanès,Barcelona
759,E,PAM INUNCAT,Homologació,2018-12-05,Palamós,Baix Empordà,Girona
766,E,PAM VENTCAT,Homologació,2018-12-05,Preses,Garrotxa,Girona
2270,E,PAM SISMICAT,Homologació,2018-12-05,Algerri,Noguera,Lleida
2268,E,PAM INFOCAT,Homologació,2018-12-05,Paüls,Baix Ebre,Tarragona
775,E,PAM SISMICAT,Homologació,2018-12-05,Palamós,Baix Empordà,Girona
2266,E,PAM INUNCAT,Homologació,2018-12-05,Seu d'Urgell,Alt Urgell,Lleida
2264,E,PAM INUNCAT,Homologació,2018-12-05,Corbera d'Ebre,Terra Alta,Tarragona
829,E,PAM ALLAUCAT,Homologació,2018-12-05,Bòrdes,Val d'Aran,Lleida
789,E,PAM SISMICAT,Homologació,2018-12-05,Sant Sadurní d'Osormort,Osona,Barcelona
2258,E,PAM INUNCAT,Homologació,2018-12-05,Rodonyà,Alt Camp,Tarragona
794,E,PAM SISMICAT,Homologació,2018-12-05,Verdú,Urgell,Lleida
2253,E,PAM SISMICAT,Homologació,2018-12-05,Amposta,Montsià,Tarragona
800,E,PAM INUNCAT,Homologació,2018-12-05,Paüls,Baix Ebre,Tarragona
815,E,PAM INUNCAT,Homologació,2018-12-05,Sant Feliu de Guíxols,Baix Empordà,Girona
2242,E,PAM VENTCAT,Homologació,2018-12-05,Vilanova de Sau,Osona,Barcelona
821,E,PAM INFOCAT,Homologació,2018-12-05,Ràpita,Montsià,Tarragona
2237,E,PAM INUNCAT,Homologació,2018-12-05,Tremp,Pallars Jussà,Lleida
790,E,PAM VENTCAT,Homologació,2018-12-05,Ponts,Noguera,Lleida
2197,E,PAM NEUCAT,Homologació,2018-12-05,Molló,Ripollès,Girona
903,E,PAM INUNCAT,Homologació,2018-12-05,Galera,Montsià,Tarragona
2188,E,PAM SISMICAT,Homologació,2018-12-05,Alió,Alt Camp,Tarragona
996,E,PAM VENTCAT,Homologació,2018-12-05,Begur,Baix Empordà,Girona
2113,E,PAM SISMICAT,Homologació,2018-12-05,Castellfollit del Boix,Bages,Barcelona
2112,E,PAM SISMICAT,Homologació,2018-12-05,Josa i Tuixén,Alt Urgell,Lleida
2106,E,PAM SISMICAT,Homologació,2018-12-05,Santa Susanna,Maresme,Barcelona
2104,E,PAM INUNCAT,Homologació,2018-12-05,Llorac,Conca de Barberà,Tarragona
2103,E,PAM NEUCAT,Homologació,2018-12-05,Santa Maria de Besora,Osona,Barcelona
2102,E,PAM NEUCAT,Homologació,2018-12-05,Almatret,Segrià,Lleida
1014,E,PAM INFOCAT,Homologació,2018-12-05,Fulleda,Garrigues,Lleida
1018,E,PAM VENTCAT,Homologació,2018-12-05,Santa Maria de Besora,Osona,Barcelona
993,E,PAM NEUCAT,Homologació,2018-12-05,Ponts,Noguera,Lleida
2096,E,PAM NEUCAT,Homologació,2018-12-05,Castellbell i el Vilar,Bages,Barcelona
1029,E,PAM INFOCAT,Homologació,2018-12-05,Preses,Garrotxa,Girona
1034,E,PAM INUNCAT,Homologació,2018-12-05,Algerri,Noguera,Lleida
1036,E,PAM NEUCAT,Homologació,2018-12-05,Vandellòs i l'Hospitalet de l'Infant,Baix Camp,Tarragona
2088,E,PAM INUNCAT,Homologació,2018-12-05,Castellar del Vallès,Vallès Occidental,Barcelona
1044,E,PAM VENTCAT,Homologació,2018-12-05,Arres,Val d'Aran,Lleida
1045,E,PAM INUNCAT,Homologació,2018-12-05,Masquefa,Anoia,Barcelona
1050,E,PAM NEUCAT,Homologació,2018-12-05,Sant Sadurní d'Osormort,Osona,Barcelona
1051,E,PAM VENTCAT,Homologació,2018-12-05,Camarasa,Noguera,Lleida
912,E,PAM SISMICAT,Homologació,2018-12-05,Sant Andreu de Llavaneres,Maresme,Barcelona
917,E,PAM INUNCAT,Homologació,2018-12-05,Omellons,Garrigues,Lleida
2173,E,PAM SISMICAT,Homologació,2018-12-05,Bòrdes,Val d'Aran,Lleida
2172,E,PAM NEUCAT,Homologació,2018-12-05,Gualta,Baix Empordà,Girona
2171,E,PAM VENTCAT,Homologació,2018-12-05,Aldea,Baix Ebre,Tarragona
2170,E,PAM NEUCAT,Homologació,2018-12-05,Preses,Garrotxa,Girona
934,E,PAM NEUCAT,Homologació,2018-12-05,Garrigoles,Baix Empordà,Girona
940,E,PAM SISMICAT,Homologació,2018-12-05,Cubells,Noguera,Lleida
941,E,PA PROCICAT,Homologació,2018-12-05,Amposta,Montsià,Tarragona
948,E,PAM INFOCAT,Homologació,2018-12-05,Llorac,Conca de Barberà,Tarragona
2151,E,PAM INFOCAT,Homologació,2018-12-05,Sant Feliu de Guíxols,Baix Empordà,Girona
2150,E,PAM INUNCAT,Homologació,2018-12-05,Sant Sadurní d'Osormort,Osona,Barcelona
2149,E,PAM NEUCAT,Homologació,2018-12-05,Llívia,Cerdanya,Girona
954,E,PAM INFOCAT,Homologació,2018-12-05,Sant Andreu de Llavaneres,Maresme,Barcelona
956,E,PAM NEUCAT,Homologació,2018-12-05,Regencós,Baix Empordà,Girona
963,E,PAM NEUCAT,Homologació,2018-12-05,Vilabertran,Alt Empordà,Girona
2141,E,PAM INUNCAT,Homologació,2018-12-05,Bellpuig,Urgell,Lleida
970,E,PAM NEUCAT,Homologació,2018-12-05,Castellfollit del Boix,Bages,Barcelona
974,E,PAM NEUCAT,Homologació,2018-12-05,Vilosell,Garrigues,Lleida
980,E,PAM INUNCAT,Homologació,2018-12-05,Matadepera,Vallès Occidental,Barcelona
754,E,PAM NEUCAT,Homologació,2018-12-05,Juncosa,Garrigues,Lleida
2080,E,PAM NEUCAT,Homologació,2018-12-05,Alpicat,Segrià,Lleida
753,E,PAM SISMICAT,Homologació,2018-12-05,Camarasa,Noguera,Lleida
525,E,PAM INFOCAT,Homologació,2018-12-05,Maldà,Urgell,Lleida
529,E,PAM SISMICAT,Homologació,2018-12-05,Palma d'Ebre,Ribera d'Ebre,Tarragona
531,E,PAM INUNCAT,Homologació,2018-12-05,Garcia,Ribera d'Ebre,Tarragona
535,E,PAM NEUCAT,Homologació,2018-12-05,Granadella,Garrigues,Lleida
551,E,PAM NEUCAT,Homologació,2018-12-05,Soleràs,Garrigues,Lleida
2423,E,PAM INUNCAT,Homologació,2018-12-05,Torroella de Montgrí,Baix Empordà,Girona
555,E,PAM SISMICAT,Homologació,2018-12-05,Guardiola de Berguedà,Berguedà,Barcelona
523,E,PAM INFOCAT,Homologació,2018-12-05,Brull,Osona,Barcelona
2422,E,PAM VENTCAT,Homologació,2018-12-05,Llorac,Conca de Barberà,Tarragona
560,E,PAM INFOCAT,Homologació,2018-12-05,Fogars de la Selva,Selva,Barcelona
2411,E,PAM SISMICAT,Homologació,2018-12-05,Santa Maria de Besora,Osona,Barcelona
2409,E,PAM NEUCAT,Homologació,2018-12-05,Palamós,Baix Empordà,Girona
574,E,PAM SISMICAT,Homologació,2018-12-05,Tremp,Pallars Jussà,Lleida
582,E,PAM SISMICAT,Homologació,2018-12-05,Gualta,Baix Empordà,Girona
584,E,PAM NEUCAT,Homologació,2018-12-05,Arres,Val d'Aran,Lleida
590,E,PAM NEUCAT,Homologació,2018-12-05,Albesa,Noguera,Lleida
2399,E,PA PROCICAT,Homologació,2018-12-05,Xerta,Baix Ebre,Tarragona
2391,E,PAM VENTCAT,Homologació,2018-12-05,Seu d'Urgell,Alt Urgell,Lleida
2420,E,PAM INFOCAT,Homologació,2018-12-05,Torms,Garrigues,Lleida
604,E,PAM INFOCAT,Homologació,2018-12-05,Espluga Calba,Garrigues,Lleida
2444,E,PAM VENTCAT,Homologació,2018-12-05,Llívia,Cerdanya,Girona
515,E,PAM SISMICAT,Homologació,2018-12-05,Riudoms,Baix Camp,Tarragona
462,E,PAM SISMICAT,Homologació,2018-12-05,Ivars de Noguera,Noguera,Lleida
463,E,PAM INUNCAT,Homologació,2018-12-05,Torrent,Baix Empordà,Girona
464,E,PAM INFOCAT,Homologació,2018-12-05,Guingueta d'Àneu,Pallars Sobirà,Lleida
2485,E,PAM NEUCAT,Homologació,2018-12-05,Prullans,Cerdanya,Lleida
2478,E,PAM SISMICAT,Homologació,2018-12-05,Matadepera,Vallès Occidental,Barcelona
479,E,PAM NEUCAT,Homologació,2018-12-05,Verdú,Urgell,Lleida
2475,E,PA PROCICAT,Homologació,2018-12-05,Morell,Tarragonès,Tarragona
2474,E,PAM INFOCAT,Homologació,2018-12-05,Urús,Cerdanya,Girona
486,E,PAM INFOCAT,Homologació,2018-12-05,Masquefa,Anoia,Barcelona
